,session,player_idx,player_name,steamID,player_team,player_isbot,participant
0,1.0,0.0,sims-P4,76561199087420700,3,0.0,4.0
1,1.0,1.0,sims-*****,76561199087300154,2,0.0,2.0
2,1.0,2.0,sims-P3,76561199087240671,3,0.0,3.0
3,1.0,3.0,Connor,,3,1.0,
