,AnnotationTimestamp,VideoTime,arousal,session,participant,time
0,1602190620367,0,0,1,3,16729.74913554193
1,1602190631273,10642,-1,1,3,16740.39113554193
2,1602190631456,10822,-2,1,3,16740.57113554193
3,1602190631706,11082,-3,1,3,16740.83113554193
4,1602190631806,11182,-4,1,3,16740.93113554193
5,1602190632373,11742,-3,1,3,16741.491135541928
6,1602190632439,11832,-2,1,3,16741.58113554193
7,1602190632506,11882,-1,1,3,16741.63113554193
8,1602190632573,11962,0,1,3,16741.71113554193
9,1602190632639,12002,1,1,3,16741.75113554193
10,1602190633423,12802,0,1,3,16742.55113554193
11,1602190633456,12842,-2,1,3,16742.59113554193
12,1602190633489,12882,-3,1,3,16742.63113554193
13,1602190633656,13042,-4,1,3,16742.79113554193
14,1602190633756,13142,-3,1,3,16742.89113554193
15,1602190633789,13182,-1,1,3,16742.93113554193
16,1602190633823,13222,1,1,3,16742.97113554193
17,1602190633872,13271,2,1,3,16743.02013554193
18,1602190634039,13402,1,1,3,16743.151135541928
19,1602190634056,13442,0,1,3,16743.19113554193
20,1602190634089,13482,-3,1,3,16743.23113554193
21,1602190634123,13522,-4,1,3,16743.27113554193
22,1602190634273,13642,-3,1,3,16743.39113554193
23,1602190634290,13682,-2,1,3,16743.43113554193
24,1602190634323,13722,0,1,3,16743.47113554193
25,1602190634373,13762,1,1,3,16743.51113554193
26,1602190634406,13802,2,1,3,16743.55113554193
27,1602190635539,14922,1,1,3,16744.67113554193
28,1602190636039,15382,2,1,3,16745.13113554193
29,1602190636573,15942,3,1,3,16745.69113554193
30,1602190636606,15982,4,1,3,16745.73113554193
31,1602190637323,16722,5,1,3,16746.47113554193
32,1602190637406,16782,6,1,3,16746.53113554193
33,1602190637456,16822,7,1,3,16746.57113554193
34,1602190637522,16910,8,1,3,16746.65913554193
35,1602190638106,17482,7,1,3,16747.23113554193
36,1602190638139,17522,6,1,3,16747.27113554193
37,1602190638306,17682,5,1,3,16747.43113554193
38,1602190639589,18982,4,1,3,16748.73113554193
39,1602190639722,19122,3,1,3,16748.87113554193
40,1602190659039,34409,4,1,3,16764.15813554193
41,1602190659388,34730,5,1,3,16764.47913554193
42,1602190662772,38107,6,1,3,16767.85613554193
43,1602190662888,38228,7,1,3,16767.97713554193
44,1602190663806,39151,8,1,3,16768.90013554193
45,1602190666272,41615,9,1,3,16771.36413554193
46,1602190666338,41695,10,1,3,16771.44413554193
47,1602190666405,41776,11,1,3,16771.52513554193
48,1602190672522,47883,12,1,3,16777.63213554193
49,1602190673205,48564,13,1,3,16778.31313554193
50,1602190673505,48845,14,1,3,16778.59413554193
51,1602190675522,50858,15,1,3,16780.60713554193
52,1602190676922,52267,16,1,3,16782.01613554193
53,1602190678255,53598,17,1,3,16783.34713554193
54,1602190689371,64714,18,1,3,16794.46313554193
55,1602190689471,64834,19,1,3,16794.58313554193
56,1602190689571,64915,20,1,3,16794.66413554193
57,1602190689621,64956,21,1,3,16794.705135541928
58,1602190689772,65118,22,1,3,16794.86713554193
59,1602190691754,67087,23,1,3,16796.83613554193
60,1602190691771,67127,24,1,3,16796.87613554193
61,1602190691804,67169,25,1,3,16796.91813554193
62,1602190701922,77281,26,1,3,16807.03013554193
63,1602190702304,77646,27,1,3,16807.39513554193
64,1602190712188,87557,28,1,3,16817.30613554193
65,1602190712288,87638,29,1,3,16817.38713554193
