,session,participant,time,depth_frame_id,depth_frame_time,color_frame_id,color_frame_time
0,1,3,16732.98056750844,2474.0,1602189204117.3108,1271.0,1602189204112.819
1,1,3,16733.009430447648,2475.0,1602189204150.2217,1271.0,1602189204112.819
2,1,3,16733.044335695056,2476.0,1602189204184.2,1272.0,1602189204173.1687
3,1,3,16733.076902739293,2477.0,1602189204216.9595,1272.0,1602189204173.1687
4,1,3,16733.10999518424,2478.0,1602189204250.8115,1273.0,1602189204233.402
5,1,3,16733.15313984284,2479.0,1602189204283.9597,1274.0,1602189204293.6697
6,1,3,16733.177248375592,2480.0,1602189204317.6658,1274.0,1602189204293.6697
7,1,3,16733.212582423585,2481.0,1602189204350.6624,1275.0,1602189204353.933
8,1,3,16733.24341436546,2482.0,1602189204383.631,1275.0,1602189204353.933
9,1,3,16733.276443110324,2483.0,1602189204417.3743,1276.0,1602189204414.179
10,1,3,16733.31130765768,2484.0,1602189204450.7168,1276.0,1602189204414.179
11,1,3,16733.343210701016,2485.0,1602189204484.168,1277.0,1602189204474.3997
12,1,3,16733.378055648347,2486.0,1602189204517.3853,1277.0,1602189204474.3997
13,1,3,16733.41011619189,2487.0,1602189204550.8635,1278.0,1602189204534.6765
14,1,3,16733.45494595278,2488.0,1602189204584.0393,1279.0,1602189204594.8152
15,1,3,16733.47625108172,2489.0,1602189204617.3718,1279.0,1602189204594.8152
16,1,3,16733.515282834738,2490.0,1602189204650.3384,1280.0,1602189204655.0696
17,1,3,16733.543005972395,2491.0,1602189204683.7007,1280.0,1602189204655.0696
18,1,3,16733.57852022063,2492.0,1602189204717.2336,1281.0,1602189204715.566
19,1,3,16733.610218163685,2493.0,1602189204750.5413,1281.0,1602189204715.566
20,1,3,16733.644031809614,2494.0,1602189204784.408,1282.0,1602189204775.8088
21,1,3,16733.676485753695,2495.0,1602189204817.6846,1282.0,1602189204775.8088
22,1,3,16733.71029589962,2496.0,1602189204850.858,1283.0,1602189204836.0176
23,1,3,16733.755276460717,2497.0,1602189204884.1948,1284.0,1602189204896.3013
24,1,3,16733.779730793933,2498.0,1602189204917.8909,1284.0,1602189204896.3013
25,1,3,16733.815377942352,2499.0,1602189204950.9976,1285.0,1602189204956.5916
26,1,3,16733.846272984316,2500.0,1602189204983.9272,1285.0,1602189204956.5916
27,1,3,16733.878401927956,2501.0,1602189205017.8716,1286.0,1602189205017.255
28,1,3,16733.912089573714,2502.0,1602189205050.795,1286.0,1602189205017.255
29,1,3,16733.945732019412,2503.0,1602189205084.718,1287.0,1602189205077.3328
30,1,3,16733.979153564807,2504.0,1602189205117.449,1287.0,1602189205077.3328
31,1,3,16734.010945507987,2505.0,1602189205151.2153,1288.0,1602189205137.4707
32,1,3,16734.060469875254,2506.0,1602189205184.2698,1289.0,1602189205197.7954
33,1,3,16734.078830800197,2507.0,1602189205217.3767,1289.0,1602189205197.7954
34,1,3,16734.120545556856,2508.0,1602189205250.7073,1290.0,1602189205258.0293
35,1,3,16734.145250190413,2509.0,1602189205283.9182,1290.0,1602189205258.0293
36,1,3,16734.179297436658,2510.0,1602189205317.3936,1291.0,1602189205318.6643
37,1,3,16734.21217018131,2511.0,1602189205350.8115,1291.0,1602189205318.6643
38,1,3,16734.24490372577,2512.0,1602189205383.9917,1292.0,1602189205378.562
39,1,3,16734.27911477224,2513.0,1602189205417.7976,1292.0,1602189205378.562
40,1,3,16734.313502318946,2514.0,1602189205451.334,1293.0,1602189205438.9324
41,1,3,16734.358719680367,2515.0,1602189205484.0747,1294.0,1602189205499.0024
42,1,3,16734.37849250722,2516.0,1602189205517.3286,1294.0,1602189205499.0024
43,1,3,16734.419766863284,2517.0,1602189205551.2476,1295.0,1602189205559.4397
44,1,3,16734.445670698467,2518.0,1602189205584.5989,1295.0,1602189205559.4397
45,1,3,16734.47997074506,2519.0,1602189205617.6045,1296.0,1602189205619.517
46,1,3,16734.510884287047,2520.0,1602189205651.243,1296.0,1602189205619.517
47,1,3,16734.545123433556,2521.0,1602189205684.622,1297.0,1602189205679.858
48,1,3,16734.5814522829,2522.0,1602189205717.5864,1297.0,1602189205679.858
49,1,3,16734.611911024273,2523.0,1602189205751.4404,1298.0,1602189205740.1929
50,1,3,16734.646545371314,2524.0,1602189205784.7056,1298.0,1602189205740.1929
51,1,3,16734.678939815316,2525.0,1602189205817.517,1299.0,1602189205800.4614
52,1,3,16734.722569274574,2526.0,1602189205851.2004,1300.0,1602189205860.6384
53,1,3,16734.743700603278,2527.0,1602189205884.614,1300.0,1602189205860.6384
54,1,3,16734.781532054665,2528.0,1602189205917.6023,1301.0,1602189205921.01
55,1,3,16734.81144059529,2529.0,1602189205951.2898,1301.0,1602189205921.01
56,1,3,16734.84701664361,2530.0,1602189205984.9426,1302.0,1602189205981.262
57,1,3,16734.8776337852,2531.0,1602189206017.7244,1302.0,1602189205981.262
58,1,3,16734.913282133617,2532.0,1602189206051.1155,1303.0,1602189206041.4329
59,1,3,16734.945011676715,2533.0,1602189206084.743,1303.0,1602189206041.4329
60,1,3,16734.97860412234,2534.0,1602189206117.6123,1304.0,1602189206101.7712
61,1,3,16735.02351818335,2535.0,1602189206152.0903,1305.0,1602189206161.9688
62,1,3,16735.04675481491,2536.0,1602189206184.2688,1305.0,1602189206161.9688
63,1,3,16735.082325463227,2537.0,1602189206217.5015,1306.0,1602189206222.2676
64,1,3,16735.113954906188,2538.0,1602189206251.6348,1306.0,1602189206222.2676
65,1,3,16735.14454744774,2539.0,1602189206284.4485,1307.0,1602189206282.651
66,1,3,16735.178717594154,2540.0,1602189206317.9458,1307.0,1602189206282.651
67,1,3,16735.211494138675,2541.0,1602189206350.9597,1308.0,1602189206342.9011
68,1,3,16735.246235885865,2542.0,1602189206384.7036,1308.0,1602189206342.9011
69,1,3,16735.279251330707,2543.0,1602189206418.3262,1309.0,1602189206403.1956
70,1,3,16735.3242294918,2544.0,1602189206451.4084,1310.0,1602189206463.2646
71,1,3,16735.34559262082,2545.0,1602189206485.2175,1310.0,1602189206463.2646
72,1,3,16735.386567176472,2546.0,1602189206518.3838,1311.0,1602189206523.5928
73,1,3,16735.41186111083,2547.0,1602189206551.1487,1311.0,1602189206523.5928
74,1,3,16735.44698645854,2548.0,1602189206584.4167,1312.0,1602189206584.126
75,1,3,16735.478668901575,2549.0,1602189206618.0676,1312.0,1602189206584.126
76,1,3,16735.511984546825,2550.0,1602189206650.9253,1313.0,1602189206643.9907
77,1,3,16735.546195193292,2551.0,1602189206685.2507,1313.0,1602189206643.9907
78,1,3,16735.580465439845,2552.0,1602189206717.8438,1314.0,1602189206704.337
79,1,3,16735.62500510034,2553.0,1602189206751.035,1315.0,1602189206764.7412
80,1,3,16735.646543829596,2554.0,1602189206784.4243,1315.0,1602189206764.7412
81,1,3,16735.684274380845,2555.0,1602189206817.7356,1316.0,1602189206824.9092
82,1,3,16735.712561719265,2556.0,1602189206851.5884,1316.0,1602189206824.9092
83,1,3,16735.74515616354,2557.0,1602189206884.8499,1317.0,1602189206885.2192
84,1,3,16735.77856090891,2558.0,1602189206918.1057,1317.0,1602189206885.2192
85,1,3,16735.811915254217,2559.0,1602189206951.7295,1318.0,1602189206945.428
86,1,3,16735.846198400784,2560.0,1602189206984.537,1318.0,1602189206945.428
87,1,3,16735.880226147005,2561.0,1602189207017.8203,1319.0,1602189207005.9346
88,1,3,16735.927588111335,2562.0,1602189207051.1484,1320.0,1602189207065.8645
89,1,3,16735.945271735356,2563.0,1602189207084.3928,1320.0,1602189207065.8645
90,1,3,16735.988834794523,2564.0,1602189207117.8914,1321.0,1602189207126.5005
91,1,3,16736.012187726243,2565.0,1602189207151.7126,1321.0,1602189207126.5005
92,1,3,16736.049226476553,2566.0,1602189207185.1765,1322.0,1602189207186.307
93,1,3,16736.07997181831,2567.0,1602189207218.932,1322.0,1602189207186.307
94,1,3,16736.112221562118,2568.0,1602189207251.672,1323.0,1602189207246.705
95,1,3,16736.144886906488,2569.0,1602189207285.287,1323.0,1602189207246.705
96,1,3,16736.180651055063,2570.0,1602189207317.946,1324.0,1602189207313.8892
97,1,3,16736.212309498067,2571.0,1602189207352.2756,1324.0,1602189207313.8892
98,1,3,16736.24621614412,2572.0,1602189207385.0532,1325.0,1602189207380.7727
99,1,3,16736.27839368783,2573.0,1602189207417.9084,1325.0,1602189207380.7727
100,1,3,16736.31200303348,2574.0,1602189207451.5127,1326.0,1602189207447.484
101,1,3,16736.344230677256,2575.0,1602189207485.2805,1326.0,1602189207447.484
102,1,3,16736.37823712344,2576.0,1602189207517.859,1327.0,1602189207514.577
103,1,3,16736.412536770033,2577.0,1602189207551.5486,1327.0,1602189207514.577
104,1,3,16736.447663117746,2578.0,1602189207584.7944,1328.0,1602189207581.646
105,1,3,16736.4781131591,2579.0,1602189207618.02,1328.0,1602189207581.646
106,1,3,16736.514542608587,2580.0,1602189207651.4912,1329.0,1602189207648.5
107,1,3,16736.54533255041,2581.0,1602189207684.7075,1329.0,1602189207648.5
108,1,3,16736.581552499603,2582.0,1602189207718.5217,1330.0,1602189207715.3257
109,1,3,16736.612481441614,2583.0,1602189207751.431,1330.0,1602189207715.3257
110,1,3,16736.64658188793,2584.0,1602189207785.066,1331.0,1602189207782.5269
111,1,3,16736.680540034056,2585.0,1602189207818.973,1331.0,1602189207782.5269
112,1,3,16736.71483578064,2586.0,1602189207851.996,1332.0,1602189207849.3635
113,1,3,16736.744389120784,2587.0,1602189207885.15,1332.0,1602189207849.3635
114,1,3,16736.779672368706,2588.0,1602189207918.0237,1333.0,1602189207916.213
115,1,3,16736.810289310295,2589.0,1602189207951.353,1333.0,1602189207916.213
116,1,3,16736.84683085993,2590.0,1602189207985.1853,1334.0,1602189207983.2527
117,1,3,16736.87939730416,2591.0,1602189208018.9514,1334.0,1602189207983.2527
118,1,3,16736.911979848417,2592.0,1602189208051.2537,1335.0,1602189208050.123
119,1,3,16736.94559659408,2593.0,1602189208084.904,1335.0,1602189208050.123
120,1,3,16736.980004640816,2594.0,1602189208118.446,1336.0,1602189208117.2043
121,1,3,16737.01308718575,2595.0,1602189208151.7383,1336.0,1602189208117.2043
122,1,3,16737.04744593242,2596.0,1602189208184.9067,1337.0,1602189208184.4077
123,1,3,16737.078283874307,2597.0,1602189208218.074,1337.0,1602189208184.4077
124,1,3,16737.113333021913,2598.0,1602189208252.2695,1338.0,1602189208251.2764
125,1,3,16737.145613665758,2599.0,1602189208285.0283,1338.0,1602189208251.2764
126,1,3,16737.180861413635,2600.0,1602189208319.159,1339.0,1602189208318.5208
127,1,3,16737.21268405686,2601.0,1602189208351.8252,1339.0,1602189208318.5208
128,1,3,16737.247549004216,2602.0,1602189208385.5522,1340.0,1602189208384.852
129,1,3,16737.277752445243,2603.0,1602189208418.0293,1340.0,1602189208384.852
130,1,3,16737.31395129441,2604.0,1602189208452.065,1341.0,1602189208452.3228
131,1,3,16737.345423037157,2605.0,1602189208485.4956,1341.0,1602189208452.3228
132,1,3,16737.38165418637,2606.0,1602189208518.0603,1342.0,1602189208519.0803
133,1,3,16737.413829430072,2607.0,1602189208551.5293,1342.0,1602189208519.0803
134,1,3,16737.447981276462,2608.0,1602189208584.794,1343.0,1602189208586.1619
135,1,3,16737.48026482031,2609.0,1602189208618.4966,1343.0,1602189208586.1619
136,1,3,16737.513074564875,2610.0,1602189208651.7256,1344.0,1602189208652.9478
137,1,3,16737.54637621011,2611.0,1602189208684.9138,1344.0,1602189208652.9478
138,1,3,16737.582418059064,2612.0,1602189208718.71,1345.0,1602189208720.172
139,1,3,16737.612605400067,2613.0,1602189208751.6963,1345.0,1602189208720.172
140,1,3,16737.64822634845,2614.0,1602189208785.2073,1346.0,1602189208786.6636
141,1,3,16737.677928288795,2615.0,1602189208818.9756,1346.0,1602189208786.6636
142,1,3,16737.714338638252,2616.0,1602189208851.782,1347.0,1602189208853.5378
143,1,3,16737.747119682776,2617.0,1602189208885.0,1347.0,1602189208853.5378
