,session,participant,time,channel_0
0,1,3,16805.246053107683,W pressed
1,1,3,16805.511456340177,W released
2,1,3,16805.55450281603,W pressed
3,1,3,16805.633432743052,A pressed
4,1,3,16805.82712457829,A released
5,1,3,16806.099733697225,A pressed
6,1,3,16806.250411247758,A released
7,1,3,16806.695129782493,W released
8,1,3,16811.515933809584,A pressed
9,1,3,16811.652241910975,W pressed
10,1,3,16811.73114161956,A released
11,1,3,16811.860267148437,D pressed
12,1,3,16811.95361234543,D released
13,1,3,16812.44851213499,W released
14,1,3,16812.663743438232,D pressed
15,1,3,16812.742666281407,D released
16,1,3,16812.921992523265,W pressed
17,1,3,16813.27352053994,D pressed
18,1,3,16813.560452928512,D released
19,1,3,16814.04826671901,A pressed
20,1,3,16814.19174636364,A released
21,1,3,16814.27783814965,A pressed
22,1,3,16814.507408952606,A released
23,1,3,16814.557644277804,W released
24,1,3,16814.665209176797,D pressed
25,1,3,16814.75130598427,D released
26,1,3,16819.163196198453,A pressed
27,1,3,16819.256515660465,W pressed
28,1,3,16819.392794529776,A released
29,1,3,16819.435835266817,W released
30,1,3,16819.586459912673,ESCAPE pressed
31,1,3,16819.629494552224,ESCAPE released
32,1,3,16832.427561532495,0 pressed
33,1,3,16832.47776251448,0 released
34,1,3,16833.288408105793,PERIOD pressed
35,1,3,16833.3386269319,PERIOD released
36,1,3,16833.948395425392,6 pressed
37,1,3,16833.998620348993,6 released
38,1,3,16834.816407623777,BACK pressed
39,1,3,16834.87389842235,BACK released
40,1,3,16835.605560374937,5 pressed
41,1,3,16835.663026962888,5 released
42,1,3,16836.595529787042,BACK pressed
43,1,3,16836.645728706644,BACK released
44,1,3,16837.98007772678,0 pressed
45,1,3,16838.030284985594,0 released
46,1,3,16838.38900481069,PERIOD pressed
47,1,3,16838.44641965966,PERIOD released
48,1,3,16839.687431373666,5 pressed
49,1,3,16839.75918554301,5 released
50,1,3,16840.046117841914,OEM_8 pressed
51,1,3,16840.046613890543,RETURN pressed
52,1,3,16840.08917525738,OEM_8 released
53,1,3,16840.089301690597,RETURN released
54,1,3,16841.68176098823,ESCAPE pressed
55,1,3,16841.75348305609,ESCAPE released
56,1,3,16849.644683006994,ESCAPE pressed
57,1,3,16849.73079909329,ESCAPE released
58,1,3,16850.204216354625,ESCAPE pressed
59,1,3,16850.25443293901,ESCAPE released
60,1,3,16850.735074648263,ESCAPE pressed
61,1,3,16850.79966166815,ESCAPE released
62,1,3,16854.056561384878,BACK pressed
63,1,3,16854.106754565666,BACK released
64,1,3,16854.307633636206,BACK pressed
65,1,3,16854.365014948988,BACK released
66,1,3,16855.52717690001,BACK pressed
67,1,3,16855.57740594838,BACK released
68,1,3,16855.97929186771,1 pressed
69,1,3,16856.122597464902,1 released
70,1,3,16856.73236820012,BACK pressed
71,1,3,16856.789758031453,BACK released
72,1,3,16856.868683654364,BACK pressed
73,1,3,16856.918894858612,BACK released
74,1,3,16857.499978255186,1 pressed
75,1,3,16857.593230465485,1 released
76,1,3,16857.8945311375,OEM_8 pressed
77,1,3,16857.95196302357,OEM_8 released
78,1,3,16858.49717543296,RETURN pressed
79,1,3,16858.56172559891,RETURN released
80,1,3,16859.38669212846,ESCAPE pressed
81,1,3,16859.479931157424,ESCAPE released
82,1,3,16861.000800110884,W pressed
83,1,3,16861.804239457073,D pressed
84,1,3,16862.112702615763,D released
85,1,3,16863.94201930485,D pressed
86,1,3,16864.150080230553,D released
87,1,3,16864.372480207625,D pressed
88,1,3,16864.79571854553,W released
89,1,3,16864.86745962321,D released
90,1,3,16864.867569467675,A pressed
91,1,3,16865.175920360838,W pressed
92,1,3,16865.333745064654,A released
93,1,3,16865.405533935882,D pressed
94,1,3,16865.678078941517,D released
95,1,3,16866.25917632645,D pressed
96,1,3,16866.366769291824,D released
97,1,3,16866.86176843458,D pressed
98,1,3,16867.342399383553,D released
99,1,3,16867.837442284756,D pressed
100,1,3,16867.952244723336,D released
101,1,3,16868.260645293096,D pressed
102,1,3,16868.468714199334,D released
103,1,3,16869.12867883269,D pressed
104,1,3,16869.37978282683,D released
105,1,3,16869.666742116082,D pressed
106,1,3,16870.21910849359,D released
107,1,3,16870.663878767315,W released
108,1,3,16870.664040888776,A pressed
109,1,3,16871.008238648177,D pressed
110,1,3,16871.051255622944,A released
111,1,3,16871.496030918126,A pressed
112,1,3,16871.51762893996,D released
113,1,3,16871.783004464745,W pressed
114,1,3,16871.948006809285,A released
115,1,3,16871.948119612825,W released
116,1,3,16871.962352585826,D pressed
117,1,3,16872.12734246638,D released
118,1,3,16872.500426181145,LCONTROL pressed
119,1,3,16872.65820578148,LCONTROL released
120,1,3,16872.74436132211,D pressed
121,1,3,16872.78015716672,W pressed
122,1,3,16872.83753614811,D released
123,1,3,16873.024073746215,D pressed
124,1,3,16873.13885789233,D released
125,1,3,16873.246451933734,R pressed
126,1,3,16873.303846876195,R released
127,1,3,16873.33254479577,W released
128,1,3,16873.54781582236,D pressed
129,1,3,16873.583605659143,W pressed
130,1,3,16873.691257895694,D released
131,1,3,16873.88489942665,D pressed
132,1,3,16874.186202609395,D released
133,1,3,16874.68838073791,D pressed
134,1,3,16874.810419371035,D released
135,1,3,16874.939464556533,A pressed
136,1,3,16875.893580825574,A released
137,1,3,16875.936616092808,A pressed
138,1,3,16876.704236101134,A released
139,1,3,16877.0342154139,D pressed
