,session,participant,time,device_ts,system_ts,left_x,left_y,left_pupil,right_x,right_y,right_pupil
66,3,2,82757.7089631106,83511000000.0,74322810000.0,,,,,,
67,3,2,82757.72563519984,83511020000.0,74322830000.0,,,,,,
68,3,2,82757.74230728907,83511030000.0,74322846000.0,,,,,,
69,3,2,82757.75897937831,83511050000.0,74322860000.0,,,,,,
70,3,2,82757.77565146754,83511070000.0,74322880000.0,,,,,,
71,3,2,82757.79232355677,83511080000.0,74322895000.0,,,,,,
72,3,2,82757.808995646,83511100000.0,74322910000.0,,,,,,
73,3,2,82757.82566773523,83511116000.0,74322930000.0,,,,,,
74,3,2,82757.84233982448,83511130000.0,74322940000.0,,,,,,
75,3,2,82757.85901191371,83511150000.0,74322960000.0,,,,,,
76,3,2,82757.87568400294,83511165000.0,74322980000.0,,,,,,
77,3,2,82757.89235609217,83511180000.0,74322990000.0,,,,,,
78,3,2,82757.9090281814,83511200000.0,74323010000.0,,,,,,
79,3,2,82757.92570027064,83511210000.0,74323030000.0,,,,,,
80,3,2,82757.94237235987,83511230000.0,74323040000.0,,,,,,
81,3,2,82757.9590444491,83511250000.0,74323060000.0,,,,,,
82,3,2,82757.97571653833,83511260000.0,74323075000.0,,,,,,
83,3,2,82757.99238862756,83511280000.0,74323090000.0,,,,,,
84,3,2,82758.0090607168,83511300000.0,74323110000.0,,,,,,
85,3,2,82758.02573280604,83511310000.0,74323124000.0,,,,,,
86,3,2,82758.04240489527,83511330000.0,74323140000.0,,,,,,
87,3,2,82758.0590769845,83511345000.0,74323160000.0,,,,,,
88,3,2,82758.07574907373,83511360000.0,74323170000.0,,,,,,
89,3,2,82758.09242116296,83511380000.0,74323190000.0,,,,,,
90,3,2,82758.1090932522,83511394000.0,74323214000.0,,,,,,
91,3,2,82758.12576534144,83511420000.0,74323230000.0,,,,,,
92,3,2,82758.14243743067,83511435000.0,74323250000.0,,,,,,
93,3,2,82758.1591095199,83511450000.0,74323260000.0,,,,,,
94,3,2,82758.17578160913,83511470000.0,74323280000.0,,,,,,
95,3,2,82758.19245369837,83511484000.0,74323300000.0,,,,,,
96,3,2,82758.2091257876,83511500000.0,74323310000.0,,,,,,
97,3,2,82758.22579787683,83511520000.0,74323330000.0,,,,,,
98,3,2,82758.24246996606,83511530000.0,74323345000.0,,,,,,
99,3,2,82758.25914205529,83511550000.0,74323360000.0,,,,,,
100,3,2,82758.27581414454,83511570000.0,74323380000.0,,,,,,
101,3,2,82758.29248623377,83511580000.0,74323395000.0,,,,,,
102,3,2,82758.309158323,83511600000.0,74323410000.0,,,,,,
103,3,2,82758.32583041223,83511615000.0,74323430000.0,,,,,,
104,3,2,82758.34250250146,83511630000.0,74323440000.0,,,,,,
105,3,2,82758.3591745907,83511650000.0,74323460000.0,,,,,,
106,3,2,82758.37584667993,83511665000.0,74323480000.0,,,,,,
107,3,2,82758.39251876916,83511680000.0,74323490000.0,,,,,,
108,3,2,82758.4091908584,83511700000.0,74323510000.0,,,,,,
109,3,2,82758.42586294762,83511710000.0,74323526000.0,,,,,,
110,3,2,82758.44253503687,83511730000.0,74323540000.0,,,,,,
111,3,2,82758.4592071261,83511750000.0,74323560000.0,,,,,,
112,3,2,82758.47587921533,83511760000.0,74323575000.0,,,,,,
113,3,2,82758.49255130456,83511780000.0,74323590000.0,,,,,,
114,3,2,82758.50922339379,83511796000.0,74323610000.0,,,,,,
115,3,2,82758.52589548304,83511810000.0,74323620000.0,,,,,,
116,3,2,82758.54256757227,83511830000.0,74323640000.0,,,,,,
117,3,2,82758.5592396615,83511845000.0,74323660000.0,,,,,,
118,3,2,82758.57591175073,83511860000.0,74323670000.0,,,,,,
