,time,luminance,luminance_center,luminance_gaze,luminance_notcenter,luminance_notgaze
0,82755.80890674479,,,,,
1,82755.84224047643,,,,,
2,82755.87557420805,,,,,
3,82755.9089079397,,,,,
4,82755.94224167134,,,,,
5,82755.97557540296,,,,,
6,82756.0089091346,,,,,
7,82756.04224286624,,,,,
8,82756.07557659787,,,,,
9,82756.10891032951,,,,,
10,82756.14224406115,,,,,
11,82756.17557779278,,,,,
12,82756.20891152442,,,,,
13,82756.24224525606,,,,,
14,82756.27557898768,,,,,
15,82756.30891271932,,,,,
16,82756.34224645096,,,,,
17,82756.37558018259,,,,,
18,82756.40891391423,,,,,
19,82756.44224764587,,,,,
20,82756.4755813775,,,,,
21,82756.50891510914,,,,,
22,82756.54224884078,,,,,
23,82756.5755825724,,,,,
24,82756.60891630405,,,,,
25,82756.64225003569,,,,,
26,82756.67558376731,,,,,
27,82756.70891749895,,,,,
28,82756.7422512306,,,,,
29,82756.77558496222,,,,,
30,82756.80891869386,,,,,
31,82756.8422524255,,,,,
32,82756.87558615713,,,,,
33,82756.90891988877,,,,,
34,82756.94225362041,,,,,
35,82756.97558735203,,,,,
36,82757.00892108367,,,,,
37,82757.04225481531,,,,,
38,82757.07558854694,,,,,
39,82757.10892227858,,,,,
40,82757.14225601022,,,,,
41,82757.17558974185,,,,,
42,82757.20892347349,,,,,
43,82757.24225720513,,,,,
44,82757.27559093676,,,,,
45,82757.3089246684,,,,,
46,82757.34225840004,,,,,
47,82757.37559213166,,,,,
48,82757.4089258633,,,,,
49,82757.44225959494,,,,,
50,82757.47559332657,,,,,
51,82757.50892705821,,,,,
52,82757.54226078985,,,,,
53,82757.57559452148,,,,,
54,82757.60892825312,,,,,
55,82757.64226198476,,,,,
56,82757.67559571638,,,,,
57,82757.70892944802,,,,,
58,82757.74226317967,,,,,
59,82757.77559691129,,,,,
60,82757.80893064293,,,,,
61,82757.84226437457,,,,,
62,82757.8755981062,,,,,
63,82757.90893183784,,,,,
64,82757.94226556948,,,,,
65,82757.9755993011,,,,,
66,82758.00893303275,,,,,
67,82758.04226676439,,,,,
68,82758.07560049601,,,,,
69,82758.10893422765,,,,,
70,82758.1422679593,,,,,
71,82758.17560169093,,,,,
72,82758.20893542256,,,,,
73,82758.2422691542,,,,,
74,82758.27560288584,,,,,
75,82758.30893661747,,,,,
76,82758.34227034911,,,,,
77,82758.37560408075,,,,,
78,82758.40893781238,,,,,
79,82758.44227154402,,,,,
80,82758.47560527566,,,,,
81,82758.50893900728,,,,,
82,82758.54227273892,,,,,
83,82758.57560647056,,,,,
84,82758.60894020219,,,,,
85,82758.64227393383,,,,,
86,82758.67560766547,,,,,
87,82758.7089413971,,,,,
88,82758.74227512874,,,,,
89,82758.77560886038,,,,,
90,82758.808942592,,,,,
91,82758.84227632364,,,,,
92,82758.87561005529,,,,,
93,82758.90894378691,,,,,
94,82758.94227751855,,,,,
95,82758.9756112502,,,,,
96,82759.00894498182,,,,,
97,82759.04227871346,,,,,
98,82759.0756124451,,,,,
99,82759.10894617673,,,,,
100,82759.14227990837,,,,,
101,82759.17561364,,,,,
102,82759.20894737163,,,,,
103,82759.24228110327,,,,,
104,82759.27561483491,,,,,
105,82759.30894856654,,,,,
106,82759.34228229818,,,,,
107,82759.37561602982,,,,,
108,82759.40894976145,,,,,
109,82759.44228349309,,,,,
110,82759.47561722473,,,,,
111,82759.50895095635,,,,,
112,82759.542284688,,,,,
113,82759.57561841964,,,,,
114,82759.60895215126,,,,,
115,82759.6422858829,,,,,
116,82759.67561961454,,,,,
117,82759.70895334617,,,,,
118,82759.74228707781,,,,,
119,82759.77562080945,,,,,
120,82759.80895454108,,,,,
121,82759.84228827272,,,,,
122,82759.87562200436,,,,,
123,82759.90895573598,,,,,
124,82759.94228946762,,,,,
125,82759.97562319927,,,,,
126,82760.00895693089,,,,,
127,82760.04229066253,,,,,
128,82760.07562439417,,,,,
129,82760.1089581258,,,,,
130,82760.14229185744,,,,,
131,82760.17562558908,,,,,
132,82760.2089593207,,,,,
133,82760.24229305235,,,,,
134,82760.27562678399,,,,,
135,82760.30896051561,,,,,
136,82760.34229424725,,,,,
137,82760.3756279789,,,,,
138,82760.40896171052,,,,,
139,82760.44229544216,,,,,
140,82760.4756291738,,,,,
141,82760.50896290543,,,,,
142,82760.54229663707,,,,,
143,82760.57563036871,,,,,
144,82760.60896410033,,,,,
145,82760.64229783198,,,,,
146,82760.67563156362,,,,,
147,82760.70896529524,,,,,
148,82760.74229902688,,,,,
149,82760.77563275852,,,,,
150,82760.80896649015,,,,,
151,82760.84230022179,,,,,
152,82760.87563395343,,,,,
153,82760.90896768506,,,,,
154,82760.9423014167,,,,,
155,82760.97563514834,,,,,
156,82761.00896887996,,,,,
157,82761.0423026116,,,,,
158,82761.07563634324,,,,,
159,82761.10897007487,,,,,
160,82761.14230380651,,,,,
161,82761.17563753815,,,,,
162,82761.20897126978,,,,,
163,82761.24230500142,,,,,
164,82761.27563873306,,,,,
165,82761.30897246469,,,,,
166,82761.34230619633,,,,,
167,82761.37563992797,,,,,
168,82761.40897365959,,,,,
169,82761.44230739123,,,,,
170,82761.47564112287,,,,,
171,82761.5089748545,,,,,
172,82761.54230858614,,,,,
173,82761.57564231778,,,,,
174,82761.6089760494,,,,,
175,82761.64230978105,,,,,
176,82761.67564351269,,,,,
177,82761.70897724431,,,,,
178,82761.74231097595,,,,,
179,82761.7756447076,,,,,
180,82761.80897843922,,,,,
181,82761.84231217086,,,,,
182,82761.8756459025,,,,,
183,82761.90897963413,,,,,
184,82761.94231336577,,,,,
185,82761.97564709741,,,,,
186,82762.00898082904,,,,,
187,82762.04231456068,,,,,
188,82762.07564829232,,,,,
189,82762.10898202394,,,,,
190,82762.14231575558,,,,,
191,82762.17564948722,,,,,
192,82762.20898321885,,,,,
193,82762.24231695049,,,,,
194,82762.27565068213,,,,,
195,82762.30898441376,,,,,
196,82762.3423181454,,,,,
197,82762.37565187704,,,,,
198,82762.40898560866,,,,,
199,82762.4423193403,,,,,
200,82762.47565307195,,,,,
201,82762.50898680357,,,,,
202,82762.54232053521,,,,,
203,82762.57565426685,,,,,
204,82762.60898799848,,,,,
205,82762.64232173012,,,,,
206,82762.67565546176,,,,,
207,82762.70898919339,,,,,
208,82762.74232292503,,,,,
209,82762.77565665667,,,,,
210,82762.8089903883,,,,,
211,82762.84232411993,,,,,
212,82762.87565785157,,,,,
213,82762.90899158322,,,,,
214,82762.94232531484,,,,,
215,82762.97565904648,,,,,
216,82763.00899277812,,,,,
217,82763.04232650975,,,,,
218,82763.07566024139,,,,,
219,82763.10899397303,,,,,
220,82763.14232770466,,,,,
221,82763.1756614363,,,,,
222,82763.20899516794,,,,,
223,82763.24232889956,,,,,
224,82763.2756626312,,,,,
225,82763.30899636284,,,,,
226,82763.34233009447,,,,,
227,82763.37566382611,,,,,
228,82763.40899755775,,,,,
229,82763.44233128938,,,,,
230,82763.47566502102,,,,,
231,82763.50899875266,,,,,
232,82763.54233248428,,,,,
233,82763.57566621593,,,,,
234,82763.60899994757,,,,,
235,82763.64233367919,,,,,
236,82763.67566741083,,,,,
237,82763.70900114247,,,,,
238,82763.7423348741,,,,,
239,82763.77566860574,,,,,
240,82763.80900233738,,,,,
241,82763.842336069,,,,,
242,82763.87566980065,,,,,
243,82763.90900353229,,,,,
244,82763.94233726391,,,,,
