,time,luminance,luminance_center,luminance_gaze,luminance_notcenter,luminance_notgaze
0,82758.35894519177,,,,,
1,82758.39227902135,,,,,
2,82758.42561285093,,,,,
3,82758.45894668052,,,,,
4,82758.49228051011,,,,,
5,82758.52561433968,,,,,
6,82758.55894816927,,,,,
7,82758.59228199886,,,,,
8,82758.62561582844,,,,,
9,82758.65894965803,,,,,
10,82758.69228348762,,,,,
11,82758.7256173172,,,,,
12,82758.75895114678,,,,,
13,82758.79228497637,,,,,
14,82758.82561880596,,,,,
15,82758.85895263554,,,,,
16,82758.89228646512,,,,,
17,82758.92562029471,,,,,
18,82758.95895412429,,,,,
19,82758.99228795388,,,,,
20,82759.02562178347,,,,,
21,82759.05895561304,,,,,
22,82759.09228944263,,,,,
23,82759.12562327222,,,,,
24,82759.1589571018,,,,,
25,82759.19229093139,,,,,
26,82759.22562476098,,,,,
27,82759.25895859055,,,,,
28,82759.29229242014,,,,,
29,82759.32562624973,,,,,
30,82759.35896007932,,,,,
31,82759.3922939089,,,,,
32,82759.42562773848,,,,,
33,82759.45896156807,,,,,
34,82759.49229539765,,,,,
35,82759.52562922724,,,,,
36,82759.55896305683,,,,,
37,82759.5922968864,,,,,
38,82759.625630716,,,,,
39,82759.65896454558,,,,,
40,82759.69229837516,,,,,
41,82759.72563220475,,,,,
42,82759.75896603434,,,,,
43,82759.79229986391,,,,,
44,82759.8256336935,,,,,
45,82759.85896752309,,,,,
46,82759.89230135267,,,,,
47,82759.92563518226,,,,,
48,82759.95896901184,,,,,
49,82759.99230284143,,,,,
50,82760.02563667101,,,,,
51,82760.0589705006,,,,,
52,82760.09230433019,,,,,
53,82760.12563815976,,,,,
54,82760.15897198935,,,,,
55,82760.19230581894,,,,,
56,82760.22563964852,,,,,
57,82760.2589734781,,,,,
58,82760.2923073077,,,,,
59,82760.32564113727,,,,,
60,82760.35897496686,,,,,
61,82760.39230879645,,,,,
62,82760.42564262603,,,,,
63,82760.45897645561,,,,,
64,82760.4923102852,,,,,
65,82760.52564411478,,,,,
66,82760.55897794437,,,,,
67,82760.59231177396,,,,,
68,82760.62564560355,,,,,
69,82760.65897943312,,,,,
70,82760.69231326271,,,,,
71,82760.7256470923,,,,,
72,82760.75898092188,,,,,
73,82760.79231475147,,,,,
74,82760.82564858106,,,,,
75,82760.85898241063,,,,,
76,82760.89231624022,,,,,
77,82760.92565006981,,,,,
78,82760.95898389939,,,,,
79,82760.99231772897,,,,,
80,82761.02565155856,,,,,
81,82761.05898538814,,,,,
82,82761.09231921773,,,,,
83,82761.12565304732,,,,,
84,82761.1589868769,,,,,
85,82761.19232070648,,,,,
86,82761.22565453607,,,,,
87,82761.25898836565,,,,,
88,82761.29232219524,,,,,
89,82761.32565602483,,,,,
90,82761.35898985442,,,,,
91,82761.39232368399,,,,,
92,82761.42565751358,,,,,
93,82761.45899134317,,,,,
94,82761.49232517275,,,,,
95,82761.52565900233,,,,,
96,82761.55899283192,,,,,
97,82761.5923266615,,,,,
98,82761.62566049109,,,,,
99,82761.65899432068,,,,,
100,82761.69232815025,,,,,
101,82761.72566197984,,,,,
102,82761.75899580943,,,,,
103,82761.792329639,,,,,
104,82761.8256634686,,,,,
105,82761.85899729819,,,,,
106,82761.89233112776,,,,,
107,82761.92566495735,,,,,
108,82761.95899878694,,,,,
109,82761.99233261653,,,,,
110,82762.0256664461,,,,,
111,82762.0590002757,,,,,
112,82762.09233410528,,,,,
113,82762.12566793486,,,,,
114,82762.15900176445,,,,,
115,82762.19233559404,,,,,
116,82762.22566942361,,,,,
117,82762.2590032532,,,,,
118,82762.29233708279,,,,,
119,82762.32567091237,,,,,
120,82762.35900474196,,,,,
121,82762.39233857155,,,,,
122,82762.42567240112,,,,,
123,82762.45900623071,,,,,
124,82762.4923400603,,,,,
125,82762.52567388988,,,,,
126,82762.55900771946,,,,,
127,82762.59234154905,,,,,
128,82762.62567537864,,,,,
129,82762.65900920822,,,,,
130,82762.69234303781,,,,,
131,82762.7256768674,,,,,
132,82762.75901069697,,,,,
133,82762.79234452656,,,,,
134,82762.82567835615,,,,,
135,82762.85901218573,,,,,
136,82762.89234601532,,,,,
137,82762.9256798449,,,,,
138,82762.95901367448,,,,,
139,82762.99234750407,,,,,
140,82763.02568133366,,,,,
141,82763.05901516324,,,,,
142,82763.09234899282,,,,,
143,82763.12568282241,,,,,
144,82763.15901665199,,,,,
145,82763.19235048158,,,,,
146,82763.22568431117,,,,,
147,82763.25901814076,,,,,
148,82763.29235197033,,,,,
149,82763.32568579992,,,,,
150,82763.35901962951,,,,,
151,82763.39235345909,,,,,
152,82763.42568728868,,,,,
153,82763.45902111827,,,,,
154,82763.49235494784,,,,,
155,82763.52568877743,,,,,
156,82763.55902260702,,,,,
157,82763.5923564366,,,,,
158,82763.62569026618,,,,,
159,82763.65902409577,,,,,
160,82763.69235792535,,,,,
161,82763.72569175494,,,,,
162,82763.75902558453,,,,,
163,82763.7923594141,,,,,
