,session,participant,time,channel_0
0,3,4,82773.57648438349,MouseButtonLeft pressed
1,3,4,82773.69748703013,MouseButtonLeft released
2,3,4,82774.86857466314,MouseButtonLeft pressed
3,3,4,82774.95956377576,MouseButtonLeft released
4,3,4,82775.33057950478,MouseButtonLeft pressed
5,3,4,82775.40362821774,MouseButtonLeft released
6,3,4,82775.44461867392,MouseButtonLeft pressed
7,3,4,82775.54560219776,MouseButtonLeft released
8,3,4,82790.91939519232,MouseButtonLeft pressed
9,3,4,82791.03038782756,MouseButtonLeft released
10,3,4,82799.34983031443,MouseWheelDown120 pressed
11,3,4,82799.38084335957,MouseWheelDown120 pressed
12,3,4,82799.40783415995,MouseWheelDown120 pressed
13,3,4,82799.44182773826,MouseWheelDown120 pressed
14,3,4,82799.85595884713,MouseWheelDown120 pressed
15,3,4,82799.935829536,MouseWheelDown120 pressed
16,3,4,82799.96883630333,MouseWheelDown120 pressed
17,3,4,82800.00392849387,MouseWheelDown120 pressed
18,3,4,82800.03890788316,MouseWheelDown120 pressed
19,3,4,82804.68308506809,MouseButtonLeft pressed
20,3,4,82805.14314498809,MouseButtonLeft released
21,3,4,82806.34320364351,MouseWheelDown120 pressed
22,3,4,82806.37122285533,MouseWheelDown120 pressed
23,3,4,82806.3901964665,MouseWheelDown120 pressed
24,3,4,82806.40834476845,MouseWheelDown120 pressed
25,3,4,82806.43217453366,MouseWheelDown120 pressed
26,3,4,82806.83213538482,MouseWheelDown120 pressed
27,3,4,82806.90318967559,MouseWheelDown120 pressed
28,3,4,82806.9732437552,MouseWheelDown120 pressed
29,3,4,82807.02432342368,MouseWheelDown120 pressed
30,3,4,82807.0602328233,MouseWheelDown120 pressed
31,3,4,82807.0892545463,MouseWheelDown120 pressed
32,3,4,82807.54021766505,MouseWheelDown120 pressed
33,3,4,82807.58232963372,MouseWheelDown120 pressed
34,3,4,82807.6322427892,MouseWheelDown120 pressed
35,3,4,82807.69326816834,MouseWheelDown120 pressed
36,3,4,82807.75425774709,MouseWheelDown120 pressed
37,3,4,82809.85430201844,MouseWheelDown120 pressed
38,3,4,82809.87534155259,MouseWheelDown120 pressed
39,3,4,82809.89234524182,MouseWheelDown120 pressed
40,3,4,82809.90937443134,MouseWheelDown120 pressed
41,3,4,82809.93336609834,MouseWheelDown120 pressed
42,3,4,82810.32938890567,MouseWheelDown120 pressed
43,3,4,82810.39833367296,MouseWheelDown120 pressed
44,3,4,82810.44339477444,MouseWheelDown120 pressed
45,3,4,82810.48638945293,MouseWheelDown120 pressed
46,3,4,82810.51041162026,MouseWheelDown120 pressed
47,3,4,82810.53540169838,MouseWheelDown120 pressed
48,3,4,82815.95598752395,MouseButtonLeft pressed
49,3,4,82816.23672284825,MouseButtonLeft released
50,3,4,82816.48770504142,MouseButtonLeft pressed
51,3,4,82816.68872257853,MouseButtonLeft released
52,3,4,82818.13978052733,MouseButtonLeft pressed
53,3,4,82818.25088326378,MouseButtonLeft released
54,3,4,82821.21195511748,MouseButtonLeft pressed
55,3,4,82821.3129637416,MouseButtonLeft released
56,3,4,82821.53394710092,MouseButtonLeft pressed
57,3,4,82821.63502842585,MouseButtonLeft released
58,3,4,82827.70426707025,MouseWheelUp120 pressed
59,3,4,82827.72426839285,MouseWheelUp120 pressed
60,3,4,82827.74826605992,MouseWheelUp120 pressed
61,3,4,82828.44931376187,MouseWheelUp120 pressed
62,3,4,82828.46229330632,MouseWheelUp120 pressed
63,3,4,82828.4803353071,MouseWheelUp120 pressed
64,3,4,82828.51636900811,MouseWheelUp120 pressed
65,3,4,82829.49835043657,MouseButtonRight pressed
66,3,4,82830.18941782744,MouseButtonRight released
67,3,4,82830.89244805144,MouseWheelDown120 pressed
68,3,4,82830.91548840786,MouseWheelDown120 pressed
69,3,4,82830.93543682987,MouseWheelDown120 pressed
70,3,4,82830.9564567638,MouseWheelDown120 pressed
71,3,4,82830.97845570862,MouseWheelDown120 pressed
72,3,4,82834.08759071011,MouseButtonLeft pressed
73,3,4,82834.4286893062,MouseButtonLeft released
74,3,4,82836.14671172602,MouseWheelDown120 pressed
75,3,4,82836.1636846149,MouseWheelDown120 pressed
76,3,4,82836.1776747706,MouseWheelDown120 pressed
77,3,4,82836.19668398215,MouseWheelDown120 pressed
78,3,4,82836.22669491614,MouseWheelDown120 pressed
79,3,4,82839.76898563822,MouseButtonLeft pressed
80,3,4,82840.36998082667,MouseButtonLeft released
81,3,4,82840.79099621213,MouseButtonRight pressed
82,3,4,82840.89204003665,MouseButtonRight released
83,3,4,82842.20104880459,MouseButtonLeft pressed
84,3,4,82842.28202200573,MouseButtonLeft released
85,3,4,82842.4530687093,MouseButtonLeft pressed
86,3,4,82842.53403601039,MouseButtonLeft released
87,3,4,82846.02321014133,MouseButtonRight pressed
88,3,4,82846.13421787672,MouseButtonRight released
89,3,4,82847.96534415528,MouseWheelDown120 pressed
90,3,4,82847.9822919439,MouseWheelDown120 pressed
91,3,4,82847.9964881019,MouseWheelDown120 pressed
92,3,4,82848.01529781122,MouseWheelDown120 pressed
93,3,4,82848.04429143388,MouseWheelDown120 pressed
94,3,4,82850.41648083393,MouseButtonLeft pressed
95,3,4,82850.5074665465,MouseButtonLeft released
96,3,4,82850.6785333503,MouseButtonLeft pressed
97,3,4,82851.05950049008,MouseButtonLeft released
98,3,4,82852.07751611955,MouseWheelDown120 pressed
99,3,4,82852.10253079794,MouseWheelDown120 pressed
100,3,4,82852.12270122241,MouseWheelDown120 pressed
101,3,4,82852.142522943,MouseWheelDown120 pressed
102,3,4,82852.1685623328,MouseWheelDown120 pressed
103,3,4,82861.1730297433,MouseWheelDown120 pressed
104,3,4,82861.19706621079,MouseWheelDown120 pressed
105,3,4,82861.21803324413,MouseWheelDown120 pressed
106,3,4,82861.24099169964,MouseWheelDown120 pressed
107,3,4,82861.26598617781,MouseWheelDown120 pressed
108,3,4,82861.60798848394,MouseWheelDown120 pressed
109,3,4,82861.67401211872,MouseWheelDown120 pressed
110,3,4,82861.71599378593,MouseWheelDown120 pressed
111,3,4,82861.7580167536,MouseWheelDown120 pressed
112,3,4,82861.80607478843,MouseWheelDown120 pressed
113,3,4,82861.83700643267,MouseWheelDown120 pressed
114,3,4,82862.10904866022,MouseWheelDown120 pressed
115,3,4,82870.51347859293,MouseButtonLeft pressed
116,3,4,82871.19453957243,MouseButtonLeft released
117,3,4,82877.49588039989,MouseButtonLeft pressed
118,3,4,82878.09788769962,MouseButtonLeft released
119,3,4,82878.33994959352,MouseButtonLeft pressed
120,3,4,82878.85095218045,MouseButtonLeft released
121,3,4,82886.7134956825,MouseButtonLeft pressed
122,3,4,82887.40339216035,MouseButtonLeft released
123,3,4,82888.79238511842,MouseWheelDown120 pressed
124,3,4,82888.81740569687,MouseWheelDown120 pressed
125,3,4,82888.83338647473,MouseWheelDown120 pressed
126,3,4,82888.84741453084,MouseWheelDown120 pressed
127,3,4,82888.8615085877,MouseWheelDown120 pressed
128,3,4,82888.87853877722,MouseWheelDown120 pressed
129,3,4,82890.79248957754,MouseWheelDown120 pressed
130,3,4,82890.8154895335,MouseWheelDown120 pressed
131,3,4,82890.83353533433,MouseWheelDown120 pressed
132,3,4,82890.85352045675,MouseWheelDown120 pressed
133,3,4,82890.89155568003,MouseWheelDown120 pressed
134,3,4,82891.90561316545,MouseButtonLeft pressed
135,3,4,82892.78663967038,MouseButtonLeft released
136,3,4,82895.84876214866,MouseButtonLeft pressed
137,3,4,82895.9098127281,MouseButtonLeft released
138,3,4,82900.99100477656,MouseButtonLeft pressed
139,3,4,82901.06203186701,MouseButtonLeft released
140,3,4,82901.2031398374,MouseButtonLeft pressed
141,3,4,82901.28407663814,MouseButtonLeft released
142,3,4,82961.33920179015,MouseWheelDown120 pressed
143,3,4,82961.36210844509,MouseWheelDown120 pressed
144,3,4,82961.38418469077,MouseWheelDown120 pressed
145,3,4,82961.40725944756,MouseWheelDown120 pressed
146,3,4,82961.4411566248,MouseWheelDown120 pressed
147,3,4,82961.85120068818,MouseWheelDown120 pressed
148,3,4,82961.97613527857,MouseWheelDown120 pressed
149,3,4,82962.03215690205,MouseWheelDown120 pressed
150,3,4,82962.05817779162,MouseWheelDown120 pressed
151,3,4,82962.08119334777,MouseWheelDown120 pressed
152,3,4,82962.10513801425,MouseWheelDown120 pressed
153,3,4,82962.14320973793,MouseWheelDown120 pressed
154,3,4,82970.99161711163,MouseButtonLeft pressed
155,3,4,82971.09367214741,MouseButtonLeft released
156,3,4,82971.26571866212,MouseButtonLeft pressed
157,3,4,82971.36594857757,MouseButtonLeft released
158,3,4,82977.29791439426,MouseButtonLeft pressed
159,3,4,82977.87799394997,MouseButtonLeft released
160,3,4,82978.14900526604,MouseButtonLeft pressed
161,3,4,82978.69105429848,MouseButtonLeft released
162,3,4,82979.28207567595,MouseButtonLeft pressed
163,3,4,82979.77315424115,MouseButtonLeft released
164,3,4,82987.21445125516,MouseButtonLeft pressed
165,3,4,82987.30548746831,MouseButtonLeft released
166,3,4,82987.47648547134,MouseButtonLeft pressed
167,3,4,82987.55852578436,MouseButtonLeft released
168,3,4,82987.73957409925,MouseButtonLeft pressed
169,3,4,82988.09065530641,MouseButtonLeft released
170,3,4,82988.32154077594,MouseButtonLeft pressed
171,3,4,82988.42254179998,MouseButtonLeft released
172,3,4,82988.54353904654,MouseButtonLeft pressed
173,3,4,82988.60556633686,MouseButtonLeft released
174,3,4,82988.6965398493,MouseButtonLeft pressed
175,3,4,82988.76760534018,MouseButtonLeft released
176,3,4,82988.8585676525,MouseButtonLeft pressed
177,3,4,82988.95953267613,MouseButtonLeft released
178,3,4,82990.84068761146,MouseButtonLeft pressed
179,3,4,82990.91266281248,MouseButtonLeft released
180,3,4,82991.06361059236,MouseButtonLeft pressed
181,3,4,82991.15464280546,MouseButtonLeft released
182,3,4,82994.40981113215,MouseButtonRight pressed
183,3,4,82994.56090191363,MouseButtonRight released
184,3,4,82994.67180864791,MouseWheelDown120 pressed
185,3,4,82994.6888259373,MouseWheelDown120 pressed
186,3,4,82994.7037949039,MouseWheelDown120 pressed
187,3,4,82994.71889547195,MouseWheelDown120 pressed
188,3,4,82994.77883623903,MouseWheelDown120 pressed
189,3,4,82995.78591024672,MouseButtonLeft pressed
190,3,4,82996.32592255651,MouseButtonLeft released
191,3,4,83000.07409966987,MouseWheelDown120 pressed
192,3,4,83000.09906834776,MouseWheelDown120 pressed
193,3,4,83000.11928317272,MouseWheelDown120 pressed
194,3,4,83000.13911469343,MouseWheelDown120 pressed
195,3,4,83000.16711810508,MouseWheelDown120 pressed
196,3,4,83000.81813655025,MouseButtonLeft pressed
197,3,4,83001.40921322833,MouseButtonLeft released
198,3,4,83017.33198383244,MouseButtonLeft pressed
199,3,4,83017.37300338896,MouseButtonRight pressed
200,3,4,83017.41307993495,MouseButtonLeft released
201,3,4,83017.53405038123,MouseButtonRight released
202,3,4,83021.54416340968,MouseButtonLeft pressed
203,3,4,83021.63523012317,MouseButtonLeft released
204,3,4,83021.80731003825,MouseButtonLeft pressed
205,3,4,83021.88825873911,MouseButtonLeft released
206,3,4,83022.09925088724,MouseButtonLeft pressed
207,3,4,83022.16024936609,MouseButtonLeft released
208,3,4,83025.9114585132,MouseButtonLeft pressed
209,3,4,83026.34245470975,MouseButtonLeft released
210,3,4,83043.2143993772,MouseButtonLeft pressed
211,3,4,83043.2855186687,MouseButtonLeft released
212,3,4,83043.39539909155,MouseButtonLeft pressed
213,3,4,83043.4763717927,MouseButtonLeft released
214,3,4,83044.86938239547,MouseButtonLeft pressed
215,3,4,83046.12049341906,MouseButtonLeft released
216,3,4,83049.2476501211,MouseWheelDown120 pressed
217,3,4,83049.26965526599,MouseWheelDown120 pressed
218,3,4,83049.2866558552,MouseWheelDown120 pressed
219,3,4,83049.30162252177,MouseWheelDown120 pressed
220,3,4,83049.31467676704,MouseWheelDown120 pressed
221,3,4,83049.32871212324,MouseWheelDown120 pressed
222,3,4,83062.59327444423,MouseButtonLeft pressed
223,3,4,83063.30437445805,MouseButtonLeft released
224,3,4,83068.46660730841,MouseButtonLeft pressed
225,3,4,83068.80774400491,MouseButtonLeft released
226,3,4,83069.17865203274,MouseButtonLeft pressed
227,3,4,83069.54964726153,MouseButtonLeft released
228,3,4,83070.49072233474,MouseButtonLeft pressed
229,3,4,83070.6617680383,MouseButtonLeft released
230,3,4,83071.10378835753,MouseButtonLeft pressed
231,3,4,83071.16481103665,MouseButtonLeft released
232,3,4,83071.38576669566,MouseButtonLeft pressed
233,3,4,83071.74688671457,MouseButtonLeft released
234,3,4,83072.56786755123,MouseButtonLeft pressed
235,3,4,83072.6378797304,MouseButtonLeft released
236,3,4,83073.2509197529,MouseButtonLeft pressed
237,3,4,83073.60191865916,MouseButtonLeft released
238,3,4,83076.11299580488,MouseButtonLeft pressed
239,3,4,83076.25501028536,MouseButtonLeft released
240,3,4,83077.7562673928,MouseButtonLeft pressed
241,3,4,83077.83721939372,MouseButtonLeft released
242,3,4,83077.9580920389,MouseButtonLeft pressed
243,3,4,83078.02815141859,MouseButtonLeft released
244,3,4,83086.84058449195,MouseButtonLeft pressed
245,3,4,83087.51163816008,MouseButtonLeft released
246,3,4,83087.76262215328,MouseButtonLeft pressed
247,3,4,83088.26369252968,MouseButtonLeft released
248,3,4,83089.77593265937,MouseWheelDown120 pressed
249,3,4,83089.79970802396,MouseWheelDown120 pressed
250,3,4,83089.81574720246,MouseWheelDown120 pressed
251,3,4,83089.83277229193,MouseWheelDown120 pressed
252,3,4,83089.85168780244,MouseWheelDown120 pressed
253,3,4,83089.86969310282,MouseWheelDown120 pressed
254,3,4,83092.59483333083,MouseButtonLeft pressed
255,3,4,83093.11688744077,MouseButtonLeft released
256,3,4,83093.4969784708,MouseButtonLeft pressed
257,3,4,83094.2580109403,MouseButtonLeft released
258,3,4,83094.6889665364,MouseButtonLeft pressed
259,3,4,83094.78098716048,MouseButtonLeft released
260,3,4,83097.56209041132,MouseWheelDown120 pressed
261,3,4,83097.58008971164,MouseWheelDown120 pressed
262,3,4,83097.59605138928,MouseWheelDown120 pressed
263,3,4,83097.61212606817,MouseWheelDown120 pressed
264,3,4,83097.6271344352,MouseWheelDown120 pressed
265,3,4,83099.74131056381,MouseButtonLeft pressed
266,3,4,83100.0422723132,MouseButtonLeft released
267,3,4,83100.88626960604,MouseWheelDown120 pressed
268,3,4,83100.90831065133,MouseWheelDown120 pressed
269,3,4,83100.92533204076,MouseWheelDown120 pressed
270,3,4,83100.94035770798,MouseWheelDown120 pressed
271,3,4,83100.95230324092,MouseWheelDown120 pressed
272,3,4,83100.96629579664,MouseWheelDown120 pressed
273,3,4,83100.98825404102,MouseWheelDown120 pressed
274,3,4,83103.14453993826,MouseButtonLeft pressed
275,3,4,83103.36553909775,MouseButtonLeft released
276,3,4,83103.40946278659,MouseButtonRight pressed
277,3,4,83103.54942844427,MouseButtonRight released
278,3,4,83105.03647349356,MouseButtonLeft pressed
279,3,4,83105.14653951846,MouseButtonLeft released
280,3,4,83105.24844865261,MouseButtonLeft pressed
281,3,4,83105.31856013289,MouseButtonLeft released
282,3,4,83105.48980343864,MouseButtonLeft pressed
283,3,4,83105.55052921447,MouseButtonLeft released
284,3,4,83107.23975531381,MouseWheelDown120 pressed
285,3,4,83107.25663020162,MouseWheelDown120 pressed
286,3,4,83107.27059785706,MouseWheelDown120 pressed
287,3,4,83107.28460291293,MouseWheelDown120 pressed
288,3,4,83107.30059129086,MouseWheelDown120 pressed
289,3,4,83110.01072935192,MouseWheelDown120 pressed
290,3,4,83110.02973496343,MouseWheelDown120 pressed
291,3,4,83110.04474553048,MouseWheelDown120 pressed
292,3,4,83110.05671836373,MouseWheelDown120 pressed
293,3,4,83110.06871179721,MouseWheelDown120 pressed
294,3,4,83110.36875053632,MouseWheelDown120 pressed
295,3,4,83110.47277079397,MouseWheelDown120 pressed
296,3,4,83110.51275203892,MouseWheelDown120 pressed
297,3,4,83110.55671132814,MouseWheelDown120 pressed
298,3,4,83110.58075389572,MouseWheelDown120 pressed
299,3,4,83110.60688808656,MouseWheelDown120 pressed
300,3,4,83112.87186819347,MouseButtonLeft pressed
301,3,4,83113.38293568112,MouseButtonLeft released
302,3,4,83116.08405654183,MouseButtonLeft pressed
303,3,4,83116.38511319229,MouseButtonLeft released
304,3,4,83117.94615366506,MouseButtonLeft pressed
305,3,4,83118.09719444599,MouseButtonLeft released
306,3,4,83119.31427979091,MouseWheelDown120 pressed
307,3,4,83119.33923506862,MouseWheelDown120 pressed
308,3,4,83119.3592524914,MouseWheelDown120 pressed
309,3,4,83119.37320584668,MouseWheelDown120 pressed
310,3,4,83119.38520938027,MouseWheelDown120 pressed
311,3,4,83119.40123455862,MouseWheelDown120 pressed
312,3,4,83123.51853137992,MouseButtonLeft pressed
313,3,4,83124.03949257768,MouseButtonLeft released
314,3,4,83125.7005189632,MouseButtonLeft pressed
315,3,4,83125.80155688764,MouseButtonLeft released
316,3,4,83125.93258364584,MouseButtonLeft pressed
317,3,4,83126.00256992472,MouseButtonLeft released
318,3,4,83127.68370863407,MouseButtonLeft pressed
319,3,4,83128.18476941036,MouseButtonLeft released
320,3,4,83142.02635075297,MouseButtonLeft pressed
321,3,4,83142.65744597642,MouseButtonLeft released
322,3,4,83144.67852106891,MouseWheelDown120 pressed
323,3,4,83144.69352943594,MouseWheelDown120 pressed
324,3,4,83144.7065091804,MouseWheelDown120 pressed
325,3,4,83144.71856501457,MouseWheelDown120 pressed
326,3,4,83144.73849473636,MouseWheelDown120 pressed
327,3,4,83147.34876128595,MouseButtonLeft pressed
328,3,4,83148.22073279011,MouseButtonLeft released
329,3,4,83149.55175120298,MouseButtonLeft pressed
330,3,4,83149.65283692795,MouseButtonLeft released
331,3,4,83149.77482958561,MouseButtonLeft pressed
332,3,4,83149.8447628639,MouseButtonLeft released
333,3,4,83150.02580187868,MouseButtonLeft pressed
334,3,4,83150.05680742374,MouseButtonLeft released
335,3,4,83152.69789361632,MouseButtonLeft pressed
336,3,4,83153.138966925,MouseButtonLeft released
337,3,4,83159.31929320571,MouseButtonLeft pressed
338,3,4,83159.7412907021,MouseButtonRight pressed
339,3,4,83159.78030873634,MouseButtonLeft released
340,3,4,83159.87228845998,MouseButtonRight released
341,3,4,83161.33134199775,MouseButtonLeft pressed
342,3,4,83161.41238529969,MouseButtonLeft released
343,3,4,83161.66441300449,MouseButtonLeft pressed
344,3,4,83161.74541060592,MouseButtonLeft released
345,3,4,83170.5058735009,MouseButtonLeft pressed
346,3,4,83171.10286994485,MouseButtonRight pressed
347,3,4,83171.1268930122,MouseButtonLeft released
