,session,participant,time,channel_0
0,3,4,82771.8463767262,PRIOR pressed
1,3,4,82771.9783558986,PRIOR released
2,3,4,82791.76535614654,3 pressed
3,3,4,82791.92137678714,3 released
4,3,4,82794.17550023462,W pressed
5,3,4,82794.2494934601,1 pressed
6,3,4,82794.35750436509,1 released
7,3,4,82794.5575177965,W released
8,3,4,82795.7395784838,W pressed
9,3,4,82796.28180293298,3 pressed
10,3,4,82796.4517103285,3 released
11,3,4,82796.6146332461,F pressed
12,3,4,82796.72263245097,F released
13,3,4,82797.0487054887,F pressed
14,3,4,82797.15866811547,F released
15,3,4,82798.710766731,TAB pressed
16,3,4,82799.2887305789,D pressed
17,3,4,82799.44879286458,W released
18,3,4,82799.64678127339,D released
19,3,4,82799.96680794368,TAB released
20,3,4,82800.1788711095,W pressed
21,3,4,82800.34482706094,1 pressed
22,3,4,82800.55483010376,1 released
23,3,4,82800.79483698134,A pressed
24,3,4,82801.42288968802,W released
25,3,4,82801.76086955861,W pressed
26,3,4,82801.9129381551,W released
27,3,4,82802.72295039178,A released
28,3,4,82802.73095448107,W pressed
29,3,4,82802.7909783507,3 pressed
30,3,4,82802.94299644665,3 released
31,3,4,82803.07903846436,F pressed
32,3,4,82803.21699350342,F released
33,3,4,82803.44899969174,SPACE pressed
34,3,4,82803.45098931393,D pressed
35,3,4,82803.55497757405,W released
36,3,4,82803.59098487576,1 pressed
37,3,4,82803.67897295736,SPACE released
38,3,4,82803.71698408143,1 released
39,3,4,82803.91103594631,D released
40,3,4,82803.96201471504,A pressed
41,3,4,82804.60605380007,LCONTROL pressed
42,3,4,82804.66201162436,A released
43,3,4,82804.6860825929,D pressed
44,3,4,82805.17412013754,A pressed
45,3,4,82805.18310013773,D released
46,3,4,82805.2090734275,W pressed
47,3,4,82805.22707552832,LCONTROL released
48,3,4,82805.24410901836,A released
49,3,4,82805.36507526788,3 pressed
50,3,4,82805.50507172971,3 released
51,3,4,82805.64111404744,F pressed
52,3,4,82805.8151045885,F released
53,3,4,82806.34011534564,D pressed
54,3,4,82806.35813634668,SPACE pressed
55,3,4,82806.40817670494,W released
56,3,4,82806.48214193012,SPACE released
57,3,4,82807.29414828903,D released
58,3,4,82807.32416392388,A pressed
59,3,4,82807.55218376772,A released
60,3,4,82807.95626797577,D pressed
61,3,4,82807.98021774295,W pressed
62,3,4,82808.10223800424,1 pressed
63,3,4,82808.12223942738,1 released
64,3,4,82808.2142354537,W released
65,3,4,82808.63023769471,W pressed
66,3,4,82808.80823428048,D released
67,3,4,82809.10625830531,F pressed
68,3,4,82809.17627428641,F released
69,3,4,82809.8562796727,SPACE pressed
70,3,4,82809.85827049491,D pressed
71,3,4,82809.91031827556,W released
72,3,4,82810.06232337137,D released
73,3,4,82810.09831187286,A pressed
74,3,4,82810.10834048474,SPACE released
75,3,4,82810.24836894694,A released
76,3,4,82810.26232540263,D pressed
77,3,4,82811.0423897052,W pressed
78,3,4,82811.51841601585,W released
79,3,4,82811.71245548059,LCONTROL pressed
80,3,4,82811.83039569635,LCONTROL released
81,3,4,82811.90639984427,LSHIFT pressed
82,3,4,82812.61443424325,W pressed
83,3,4,82813.17046204642,D released
84,3,4,82813.46248480429,X pressed
85,3,4,82813.64048239007,X released
86,3,4,82814.02349986309,W released
87,3,4,82814.12854683501,S pressed
88,3,4,82814.20351707141,LSHIFT released
89,3,4,82814.23653333973,A pressed
90,3,4,82814.44655478279,S released
91,3,4,82814.5865416445,W pressed
92,3,4,82814.86055560145,A released
93,3,4,82815.08857274527,A pressed
94,3,4,82815.23857521873,A released
95,3,4,82815.35559102418,A pressed
96,3,4,82815.45658075085,A released
97,3,4,82815.60857574653,A pressed
98,3,4,82815.8656405144,A released
99,3,4,82815.94364458462,LCONTROL pressed
100,3,4,82815.9456136066,D pressed
101,3,4,82815.97962328602,W released
102,3,4,82816.2676857997,D released
103,3,4,82816.28269336713,LCONTROL released
104,3,4,82816.31964317935,SPACE pressed
105,3,4,82816.3796412487,SPACE released
106,3,4,82817.107692671,SPACE pressed
107,3,4,82817.28371653476,SPACE released
108,3,4,82817.59368599285,B pressed
109,3,4,82817.59769143752,V pressed
110,3,4,82817.6256912499,V released
111,3,4,82817.62767677204,B released
112,3,4,82819.41780094305,ESCAPE pressed
113,3,4,82819.49383939135,ESCAPE released
114,3,4,82819.60180869588,ESCAPE pressed
115,3,4,82819.6978103669,ESCAPE released
116,3,4,82820.63385330958,B pressed
117,3,4,82820.78389098344,B released
118,3,4,82826.4052144961,W pressed
119,3,4,82826.72818519924,3 pressed
120,3,4,82826.90118752929,3 released
121,3,4,82826.91115984054,1 pressed
122,3,4,82827.02818694612,1 released
123,3,4,82827.13220010651,F pressed
124,3,4,82827.27919564644,F released
125,3,4,82827.29719334721,A pressed
126,3,4,82827.71927355602,A released
127,3,4,82827.84922170576,1 pressed
128,3,4,82827.9652235999,1 released
129,3,4,82828.07524132729,F pressed
130,3,4,82828.19227963299,F released
131,3,4,82828.62237133118,1 pressed
132,3,4,82828.71529176782,1 released
133,3,4,82828.88530556453,3 pressed
134,3,4,82829.03228230424,3 released
135,3,4,82829.24735800366,F pressed
136,3,4,82829.39132030973,F released
137,3,4,82830.29133925053,1 pressed
138,3,4,82830.40534292239,1 released
139,3,4,82830.82342198657,A pressed
140,3,4,82830.90340357885,SPACE pressed
141,3,4,82830.95939620351,W released
142,3,4,82830.99540580525,SPACE released
143,3,4,82831.10139888772,W pressed
144,3,4,82832.021449252,LSHIFT pressed
145,3,4,82833.15451009267,A released
146,3,4,82833.2175085955,D pressed
147,3,4,82833.38764619359,D released
148,3,4,82833.43450621638,A pressed
149,3,4,82833.60950286867,A released
150,3,4,82833.6715066604,LSHIFT released
151,3,4,82833.72454375209,A pressed
152,3,4,82833.74954533101,W released
153,3,4,82833.98153441913,A released
154,3,4,82834.021590466,D pressed
155,3,4,82834.10758092534,D released
156,3,4,82834.14152880406,LCONTROL pressed
157,3,4,82834.19154756208,D pressed
158,3,4,82834.21956187462,D released
159,3,4,82834.45456349634,LCONTROL released
160,3,4,82834.51159683263,A pressed
161,3,4,82834.52459227761,W pressed
162,3,4,82834.55958246796,A released
163,3,4,82834.59156602477,A pressed
164,3,4,82835.42461391844,A released
165,3,4,82835.43664785268,D pressed
166,3,4,82835.57464519222,D released
167,3,4,82836.08366427093,A pressed
168,3,4,82836.1306670953,SPACE pressed
169,3,4,82836.16067043004,W released
170,3,4,82836.23066741094,SPACE released
171,3,4,82837.1527150975,W pressed
172,3,4,82837.32472011642,A released
173,3,4,82837.55078243843,D pressed
174,3,4,82837.94076488915,D released
175,3,4,82838.23274654655,A pressed
176,3,4,82838.32474817295,A released
177,3,4,82838.50676470355,A pressed
178,3,4,82839.09679388604,A released
179,3,4,82839.14480132163,D pressed
180,3,4,82839.19480157943,LSHIFT pressed
181,3,4,82839.20078424618,D released
182,3,4,82839.27079652726,A pressed
183,3,4,82839.4128108116,W released
184,3,4,82839.64882804465,A released
185,3,4,82839.66885056804,D pressed
186,3,4,82839.75682974955,D released
187,3,4,82839.84887427642,LSHIFT released
188,3,4,82839.91283018992,LCONTROL pressed
189,3,4,82839.97083693705,D pressed
190,3,4,82840.11685536607,D released
191,3,4,82840.27286410653,A pressed
192,3,4,82840.28286601813,W pressed
193,3,4,82840.2848810406,LCONTROL released
194,3,4,82840.33691312108,A released
195,3,4,82840.40087333463,W released
196,3,4,82840.42089015794,SPACE pressed
197,3,4,82840.5469053638,SPACE released
198,3,4,82840.87689894527,SPACE pressed
199,3,4,82840.98690357251,SPACE released
200,3,4,82841.22493202801,SPACE pressed
201,3,4,82841.38092156826,SPACE released
202,3,4,82841.73893566233,B pressed
203,3,4,82841.75108799791,N pressed
204,3,4,82841.76897539746,N released
205,3,4,82841.86095302358,B released
206,3,4,82843.59903691402,W pressed
207,3,4,82843.81305260162,3 pressed
208,3,4,82843.96306757521,3 released
209,3,4,82844.20006041916,F pressed
210,3,4,82844.37013831659,F released
211,3,4,82845.69015284296,A pressed
212,3,4,82845.95215836594,F pressed
213,3,4,82846.07415172692,F released
214,3,4,82846.09417755033,A released
215,3,4,82846.23017256752,D pressed
216,3,4,82846.24618384615,1 pressed
217,3,4,82846.40817605337,1 released
218,3,4,82846.70031181248,W released
219,3,4,82847.24332117042,W pressed
220,3,4,82847.34230127466,D released
221,3,4,82847.94226856803,SPACE pressed
222,3,4,82847.9442480901,D pressed
223,3,4,82847.98025749184,W released
224,3,4,82848.0903352199,D released
225,3,4,82848.09829020864,SPACE released
226,3,4,82848.41929388982,W pressed
227,3,4,82848.49428352642,A pressed
228,3,4,82848.80832092988,W released
229,3,4,82848.94031690247,D pressed
230,3,4,82848.96034862594,A released
231,3,4,82849.11633176613,A pressed
232,3,4,82849.12434935557,D released
233,3,4,82849.6643465799,W pressed
234,3,4,82849.97639216114,LSHIFT pressed
235,3,4,82849.9923786395,D pressed
236,3,4,82850.05836607565,A released
237,3,4,82850.18437638145,LSHIFT released
238,3,4,82850.2043954048,D released
239,3,4,82850.2623911518,D pressed
