,time,luminance,luminance_center,luminance_gaze,luminance_notcenter,luminance_notgaze
0,82761.536481118,,,,,
1,82761.56981482293,,,,,
2,82761.60314852785,,,,,
3,82761.63648223276,,,,,
4,82761.66981593768,,,,,
5,82761.7031496426,,,,,
6,82761.73648334753,,,,,
7,82761.76981705244,,,,,
8,82761.80315075736,,,,,
9,82761.83648446228,,,,,
10,82761.86981816721,,,,,
11,82761.90315187212,,,,,
12,82761.93648557704,,,,,
13,82761.96981928196,,,,,
14,82762.00315298689,,,,,
15,82762.0364866918,,,,,
16,82762.06982039672,,,,,
17,82762.10315410164,,,,,
18,82762.13648780657,,,,,
19,82762.16982151147,,,,,
20,82762.2031552164,,,,,
21,82762.23648892132,,,,,
22,82762.26982262624,,,,,
23,82762.30315633117,,,,,
24,82762.33649003608,,,,,
25,82762.369823741,,,,,
26,82762.40315744592,,,,,
27,82762.43649115085,,,,,
28,82762.46982485575,,,,,
29,82762.50315856068,,,,,
30,82762.5364922656,,,,,
31,82762.56982597052,,,,,
32,82762.60315967543,,,,,
33,82762.63649338036,,,,,
34,82762.66982708528,,,,,
35,82762.7031607902,,,,,
36,82762.73649449511,,,,,
37,82762.76982820003,,,,,
38,82762.80316190496,,,,,
39,82762.83649560988,,,,,
40,82762.8698293148,,,,,
41,82762.90316301971,,,,,
42,82762.93649672464,,,,,
43,82762.96983042956,,,,,
44,82763.00316413448,,,,,
45,82763.03649783939,,,,,
46,82763.06983154432,,,,,
47,82763.10316524924,,,,,
48,82763.13649895416,,,,,
49,82763.16983265907,,,,,
50,82763.203166364,,,,,
51,82763.23650006892,,,,,
52,82763.26983377384,,,,,
53,82763.30316747875,,,,,
54,82763.33650118367,,,,,
55,82763.3698348886,,,,,
56,82763.40316859352,,,,,
57,82763.43650229843,,,,,
58,82763.46983600335,,,,,
59,82763.50316970827,,,,,
60,82763.5365034132,,,,,
61,82763.56983711812,,,,,
62,82763.60317082303,,,,,
63,82763.63650452795,,,,,
64,82763.66983823288,,,,,
65,82763.7031719378,,,,,
66,82763.73650564271,,,,,
67,82763.76983934763,,,,,
68,82763.80317305255,,,,,
69,82763.83650675748,,,,,
70,82763.86984046239,,,,,
71,82763.90317416731,,,,,
72,82763.93650787223,,,,,
73,82763.96984157716,,,,,
74,82764.00317528207,,,,,
75,82764.03650898699,,,,,
76,82764.06984269191,,,,,
77,82764.10317639683,,,,,
78,82764.13651010176,,,,,
79,82764.16984380667,,,,,
80,82764.20317751159,,,,,
81,82764.23651121651,,,,,
82,82764.26984492144,,,,,
83,82764.30317862635,,,,,
84,82764.33651233127,,,,,
85,82764.36984603619,,,,,
86,82764.40317974112,,,,,
87,82764.43651344602,,,,,
88,82764.46984715095,,,,,
89,82764.50318085587,,,,,
90,82764.5365145608,,,,,
91,82764.5698482657,,,,,
92,82764.60318197063,,,,,
93,82764.63651567555,,,,,
94,82764.66984938047,,,,,
95,82764.70318308538,,,,,
96,82764.7365167903,,,,,
97,82764.76985049523,,,,,
98,82764.80318420015,,,,,
99,82764.83651790507,,,,,
100,82764.86985160998,,,,,
101,82764.9031853149,,,,,
102,82764.93651901983,,,,,
103,82764.96985272475,,,,,
104,82765.00318642966,,,,,
105,82765.03652013458,,,,,
106,82765.06985383951,,,,,
107,82765.10318754443,,,,,
108,82765.13652124934,,,,,
109,82765.16985495426,,,,,
110,82765.20318865919,,,,,
111,82765.23652236411,,,,,
112,82765.26985606902,,,,,
113,82765.30318977394,,,,,
114,82765.33652347887,,,,,
115,82765.36985718379,,,,,
116,82765.4031908887,,,,,
117,82765.43652459362,,,,,
118,82765.46985829854,,,,,
119,82765.50319200347,,,,,
120,82765.53652570839,,,,,
121,82765.5698594133,,,,,
122,82765.60319311822,,,,,
123,82765.63652682315,,,,,
124,82765.66986052807,,,,,
125,82765.70319423298,,,,,
126,82765.7365279379,,,,,
127,82765.76986164282,,,,,
128,82765.80319534775,,,,,
129,82765.83652905266,,,,,
130,82765.86986275758,,,,,
131,82765.9031964625,,,,,
132,82765.93653016743,,,,,
133,82765.96986387233,,,,,
134,82766.00319757726,,,,,
135,82766.03653128218,,,,,
136,82766.0698649871,,,,,
137,82766.10319869203,,,,,
138,82766.13653239694,,,,,
139,82766.16986610186,,,,,
140,82766.20319980678,,,,,
141,82766.2365335117,,,,,
142,82766.26986721662,,,,,
143,82766.30320092154,,,,,
144,82766.33653462646,,,,,
145,82766.36986833139,,,,,
146,82766.4032020363,,,,,
147,82766.43653574122,,,,,
148,82766.46986944614,,,,,
149,82766.50320315106,,,,,
150,82766.53653685597,,,,,
151,82766.5698705609,,,,,
152,82766.60320426582,,,,,
153,82766.63653797074,,,,,
154,82766.66987167565,,,,,
155,82766.70320538057,,,,,
156,82766.7365390855,,,,,
157,82766.76987279042,,,,,
158,82766.80320649534,,,,,
159,82766.83654020025,,,,,
160,82766.86987390518,,,,,
161,82766.9032076101,,,,,
162,82766.93654131502,,,,,
163,82766.96987501993,,,,,
164,82767.00320872485,,,,,
165,82767.03654242978,,,,,
166,82767.0698761347,,,,,
167,82767.10320983961,,,,,
168,82767.13654354453,,,,,
169,82767.16987724946,,,,,
170,82767.20321095438,,,,,
171,82767.23654465929,,,,,
172,82767.26987836421,,,,,
173,82767.30321206914,,,,,
174,82767.33654577406,,,,,
175,82767.36987947898,,,,,
176,82767.40321318389,,,,,
177,82767.43654688881,,,,,
178,82767.46988059374,,,,,
179,82767.50321429866,,,,,
180,82767.53654800357,,,,,
181,82767.56988170849,,,,,
182,82767.60321541342,,,,,
183,82767.63654911834,,,,,
184,82767.66988282325,,,,,
185,82767.70321652817,,,,,
186,82767.7365502331,,,,,
187,82767.76988393802,,,,,
188,82767.80321764293,,,,,
189,82767.83655134785,,,,,
190,82767.86988505277,,,,,
191,82767.9032187577,,,,,
192,82767.9365524626,,,,,
193,82767.96988616753,,,,,
194,82768.00321987245,,,,,
195,82768.03655357737,,,,,
196,82768.0698872823,,,,,
197,82768.1032209872,,,,,
198,82768.13655469213,,,,,
199,82768.16988839705,,,,,
200,82768.20322210198,,,,,
201,82768.23655580689,,,,,
202,82768.26988951181,,,,,
203,82768.30322321673,,,,,
204,82768.33655692165,,,,,
205,82768.36989062656,,,,,
206,82768.40322433149,,,,,
207,82768.43655803641,,,,,
208,82768.46989174133,,,,,
209,82768.50322544624,,,,,
210,82768.53655915117,,,,,
211,82768.56989285609,,,,,
212,82768.60322656101,,,,,
213,82768.63656026594,,,,,
214,82768.66989397084,,,,,
215,82768.70322767577,,,,,
216,82768.73656138069,,,,,
217,82768.76989508561,,,,,
218,82768.80322879052,,,,,
219,82768.83656249545,,,,,
220,82768.86989620037,,,,,
