,session,participant,time,frame_time,frame_num,frame_dtime
0,1,4,1509.1303443854295,1602266338.136,775.0,0.03333333134651184
1,1,4,1509.1636780944466,1602266338.17,776.0,0.03333333134651184
2,1,4,1509.1970118034637,1602266338.203,777.0,0.03333333134651184
3,1,4,1509.2303455124809,1602266338.236,778.0,0.03333333134651184
4,1,4,1509.263679221498,1602266338.27,779.0,0.03333333134651184
5,1,4,1509.2970129305152,1602266338.303,780.0,0.03333333134651184
6,1,4,1509.3303466395323,1602266338.336,781.0,0.03333333134651184
7,1,4,1509.3636803485495,1602266338.37,782.0,0.03333333134651184
8,1,4,1509.3970140575666,1602266338.403,783.0,0.03333333134651184
9,1,4,1509.4303477665837,1602266338.436,784.0,0.03333333134651184
10,1,4,1509.4636814756009,1602266338.47,785.0,0.03333333134651184
11,1,4,1509.497015184618,1602266338.503,786.0,0.03333333134651184
12,1,4,1509.5303488936352,1602266338.536,787.0,0.03333333134651184
13,1,4,1509.5636826026523,1602266338.57,788.0,0.03333333134651184
14,1,4,1509.5970163116694,1602266338.603,789.0,0.03333333134651184
15,1,4,1509.6303500206866,1602266338.636,790.0,0.03333333134651184
16,1,4,1509.6636837297037,1602266338.67,791.0,0.03333333134651184
17,1,4,1509.6970174387206,1602266338.703,792.0,0.03333333134651184
18,1,4,1509.7303511477378,1602266338.736,793.0,0.03333333134651184
19,1,4,1509.763684856755,1602266338.77,794.0,0.03333333134651184
20,1,4,1509.797018565772,1602266338.803,795.0,0.03333333134651184
21,1,4,1509.8303522747892,1602266338.836,796.0,0.03333333134651184
22,1,4,1509.8636859838064,1602266338.87,797.0,0.03333333134651184
23,1,4,1509.8970196928235,1602266338.903,798.0,0.03333333134651184
24,1,4,1509.9303534018406,1602266338.936,799.0,0.03333333134651184
25,1,4,1509.9636871108578,1602266338.97,800.0,0.03333333134651184
26,1,4,1509.997020819875,1602266339.003,801.0,0.03333333134651184
27,1,4,1510.030354528892,1602266339.036,802.0,0.03333333134651184
28,1,4,1510.0636882379092,1602266339.07,803.0,0.03333333134651184
29,1,4,1510.0970219469264,1602266339.103,804.0,0.03333333134651184
30,1,4,1510.1303556559435,1602266339.136,805.0,0.03333333134651184
31,1,4,1510.1636893649606,1602266339.17,806.0,0.03333333134651184
32,1,4,1510.1970230739778,1602266339.203,807.0,0.03333333134651184
33,1,4,1510.230356782995,1602266339.237,808.0,0.03333333134651184
34,1,4,1510.263690492012,1602266339.27,809.0,0.03333333134651184
35,1,4,1510.2970242010292,1602266339.303,810.0,0.03333333134651184
36,1,4,1510.3303579100464,1602266339.336,811.0,0.03333333134651184
37,1,4,1510.3636916190635,1602266339.37,812.0,0.03333333134651184
38,1,4,1510.3970253280806,1602266339.403,813.0,0.03333333134651184
39,1,4,1510.4303590370978,1602266339.436,814.0,0.03333333134651184
40,1,4,1510.463692746115,1602266339.47,815.0,0.03333333134651184
41,1,4,1510.497026455132,1602266339.503,816.0,0.03333333134651184
42,1,4,1510.5303601641492,1602266339.536,817.0,0.03333333134651184
43,1,4,1510.5636938731664,1602266339.57,818.0,0.03333333134651184
44,1,4,1510.5970275821835,1602266339.603,819.0,0.03333333134651184
45,1,4,1510.6303612912006,1602266339.636,820.0,0.03333333134651184
46,1,4,1510.6636950002178,1602266339.67,821.0,0.03333333134651184
47,1,4,1510.697028709235,1602266339.703,822.0,0.03333333134651184
48,1,4,1510.730362418252,1602266339.736,823.0,0.03333333134651184
49,1,4,1510.7636961272692,1602266339.77,824.0,0.03333333134651184
50,1,4,1510.7970298362861,1602266339.803,825.0,0.03333333134651184
51,1,4,1510.8303635453033,1602266339.836,826.0,0.03333333134651184
52,1,4,1510.8636972543204,1602266339.87,827.0,0.03333333134651184
53,1,4,1510.8970309633376,1602266339.903,828.0,0.03333333134651184
54,1,4,1510.9303646723547,1602266339.936,829.0,0.03333333134651184
55,1,4,1510.9636983813718,1602266339.97,830.0,0.03333333134651184
56,1,4,1510.997032090389,1602266340.003,831.0,0.03333333134651184
57,1,4,1511.0303657994061,1602266340.036,832.0,0.03333333134651184
58,1,4,1511.0636995084233,1602266340.07,833.0,0.03333333134651184
59,1,4,1511.0970332174404,1602266340.103,834.0,0.03333333134651184
60,1,4,1511.1303669264576,1602266340.136,835.0,0.03333333134651184
61,1,4,1511.1637006354747,1602266340.17,836.0,0.03333333134651184
62,1,4,1511.1970343444918,1602266340.203,837.0,0.03333333134651184
63,1,4,1511.230368053509,1602266340.236,838.0,0.03333333134651184
64,1,4,1511.2637017625261,1602266340.27,839.0,0.03333333134651184
65,1,4,1511.2970354715433,1602266340.303,840.0,0.03333333134651184
66,1,4,1511.3303691805604,1602266340.336,841.0,0.03333333134651184
67,1,4,1511.3637028895776,1602266340.37,842.0,0.03333333134651184
68,1,4,1511.3970365985947,1602266340.403,843.0,0.03333333134651184
69,1,4,1511.4303703076118,1602266340.436,844.0,0.03333333134651184
70,1,4,1511.463704016629,1602266340.47,845.0,0.03333333134651184
71,1,4,1511.4970377256461,1602266340.503,846.0,0.03333333134651184
72,1,4,1511.5303714346633,1602266340.536,847.0,0.03333333134651184
