,session,participant,time,frame_time,frame_num,frame_dtime,screen_resolution_width,screen_resolution_height
0,2,2,21938.443621495833,1602194414.767,0.0,0.03333333134651184,1920,1080
1,2,2,21938.4769552322,1602194414.801,0.0,0.03333333134651184,1920,1080
2,2,2,21938.510288968566,1602194414.834,0.0,0.03333333134651184,1920,1080
3,2,2,21938.543622704932,1602194414.867,0.0,0.03333333134651184,1920,1080
4,2,2,21938.5769564413,1602194414.901,0.0,0.03333333134651184,1920,1080
5,2,2,21938.610290177665,1602194414.934,0.0,0.03333333134651184,1920,1080
6,2,2,21938.64362391403,1602194414.967,0.0,0.03333333134651184,1920,1080
7,2,2,21938.676957650394,1602194415.001,0.0,0.03333333134651184,1920,1080
8,2,2,21938.71029138676,1602194415.034,0.0,0.03333333134651184,1920,1080
9,2,2,21938.743625123127,1602194415.067,0.0,0.03333333134651184,1920,1080
10,2,2,21938.776958859493,1602194415.101,0.0,0.03333333134651184,1920,1080
11,2,2,21938.81029259586,1602194415.134,0.0,0.03333333134651184,1920,1080
12,2,2,21938.843626332226,1602194415.167,0.0,0.03333333134651184,1920,1080
13,2,2,21938.876960068592,1602194415.201,0.0,0.03333333134651184,1920,1080
14,2,2,21938.91029380496,1602194415.234,0.0,0.03333333134651184,1920,1080
15,2,2,21938.943627541325,1602194415.267,0.0,0.03333333134651184,1920,1080
16,2,2,21938.97696127769,1602194415.301,0.0,0.03333333134651184,1920,1080
17,2,2,21939.010295014057,1602194415.334,0.0,0.03333333134651184,1920,1080
18,2,2,21939.043628750424,1602194415.367,0.0,0.03333333134651184,1920,1080
19,2,2,21939.076962486786,1602194415.401,0.0,0.03333333134651184,1920,1080
20,2,2,21939.110296223153,1602194415.434,0.0,0.03333333134651184,1920,1080
21,2,2,21939.14362995952,1602194415.467,0.0,0.03333333134651184,1920,1080
22,2,2,21939.176963695885,1602194415.501,0.0,0.03333333134651184,1920,1080
23,2,2,21939.21029743225,1602194415.534,0.0,0.03333333134651184,1920,1080
24,2,2,21939.243631168618,1602194415.567,0.0,0.03333333134651184,1920,1080
25,2,2,21939.276964904984,1602194415.601,0.0,0.03333333134651184,1920,1080
26,2,2,21939.31029864135,1602194415.634,0.0,0.03333333134651184,1920,1080
27,2,2,21939.343632377717,1602194415.667,0.0,0.03333333134651184,1920,1080
28,2,2,21939.376966114083,1602194415.701,0.0,0.03333333134651184,1920,1080
29,2,2,21939.41029985045,1602194415.734,0.0,0.03333333134651184,1920,1080
30,2,2,21939.443633586816,1602194415.767,0.0,0.03333333134651184,1920,1080
31,2,2,21939.47696732318,1602194415.801,0.0,0.03333333134651184,1920,1080
32,2,2,21939.510301059545,1602194415.834,0.0,0.03333333134651184,1920,1080
33,2,2,21939.54363479591,1602194415.867,0.0,0.03333333134651184,1920,1080
34,2,2,21939.576968532278,1602194415.901,0.0,0.03333333134651184,1920,1080
35,2,2,21939.610302268644,1602194415.934,0.0,0.03333333134651184,1920,1080
36,2,2,21939.64363600501,1602194415.967,0.0,0.03333333134651184,1920,1080
37,2,2,21939.676969741377,1602194416.001,0.0,0.03333333134651184,1920,1080
38,2,2,21939.710303477743,1602194416.034,0.0,0.03333333134651184,1920,1080
39,2,2,21939.74363721411,1602194416.067,0.0,0.03333333134651184,1920,1080
40,2,2,21939.776970950476,1602194416.101,0.0,0.03333333134651184,1920,1080
41,2,2,21939.810304686842,1602194416.134,0.0,0.03333333134651184,1920,1080
42,2,2,21939.843638423208,1602194416.167,0.0,0.03333333134651184,1920,1080
43,2,2,21939.87697215957,1602194416.201,0.0,0.03333333134651184,1920,1080
44,2,2,21939.910305895937,1602194416.234,0.0,0.03333333134651184,1920,1080
45,2,2,21939.943639632304,1602194416.267,0.0,0.03333333134651184,1920,1080
46,2,2,21939.97697336867,1602194416.301,0.0,0.03333333134651184,1920,1080
47,2,2,21940.010307105036,1602194416.334,0.0,0.03333333134651184,1920,1080
48,2,2,21940.043640841403,1602194416.367,0.0,0.03333333134651184,1920,1080
49,2,2,21940.07697457777,1602194416.401,0.0,0.03333333134651184,1920,1080
50,2,2,21940.110308314135,1602194416.434,0.0,0.03333333134651184,1920,1080
51,2,2,21940.1436420505,1602194416.468,0.0,0.03333333134651184,1920,1080
52,2,2,21940.176975786868,1602194416.501,0.0,0.03333333134651184,1920,1080
53,2,2,21940.210309523234,1602194416.534,0.0,0.03333333134651184,1920,1080
54,2,2,21940.2436432596,1602194416.567,0.0,0.03333333134651184,1920,1080
55,2,2,21940.276976995967,1602194416.601,0.0,0.03333333134651184,1920,1080
56,2,2,21940.31031073233,1602194416.634,0.0,0.03333333134651184,1920,1080
57,2,2,21940.343644468696,1602194416.667,0.0,0.03333333134651184,1920,1080
58,2,2,21940.376978205062,1602194416.701,0.0,0.03333333134651184,1920,1080
59,2,2,21940.41031194143,1602194416.734,0.0,0.03333333134651184,1920,1080
60,2,2,21940.443645677795,1602194416.767,0.0,0.03333333134651184,1920,1080
61,2,2,21940.47697941416,1602194416.801,0.0,0.03333333134651184,1920,1080
62,2,2,21940.510313150528,1602194416.834,0.0,0.03333333134651184,1920,1080
