,AnnotationTimestamp,VideoTime,arousal,session,participant,time
0,1602195856327,0,0,2,2,21978.47743887144
1,1602195869110,12552,1,2,2,21991.02943887144
2,1602195876127,19552,2,2,2,21998.02943887144
3,1602195884810,28252,3,2,2,22006.72943887144
4,1602195885544,28952,4,2,2,22007.42943887144
5,1602195888626,32052,5,2,2,22010.52943887144
6,1602195888693,32132,6,2,2,22010.60943887144
7,1602195889043,32492,7,2,2,22010.969438871438
8,1602195890060,33512,8,2,2,22011.98943887144
9,1602195890626,34052,7,2,2,22012.52943887144
10,1602195891843,35253,6,2,2,22013.73043887144
11,1602195892243,35692,5,2,2,22014.16943887144
12,1602195892427,35872,4,2,2,22014.34943887144
13,1602195892694,36112,3,2,2,22014.58943887144
14,1602195893193,36612,2,2,2,22015.08943887144
15,1602195893310,36752,1,2,2,22015.22943887144
16,1602195893493,36892,0,2,2,22015.36943887144
17,1602195893876,37312,-1,2,2,22015.78943887144
18,1602195899660,43092,0,2,2,22021.56943887144
19,1602195899759,43212,1,2,2,22021.68943887144
20,1602195899809,43252,2,2,2,22021.72943887144
21,1602195900376,43792,3,2,2,22022.26943887144
22,1602195902793,46232,4,2,2,22024.70943887144
23,1602195904460,47912,5,2,2,22026.38943887144
24,1602195905260,48712,6,2,2,22027.18943887144
25,1602195905326,48752,7,2,2,22027.22943887144
26,1602195905543,48992,8,2,2,22027.469438871438
27,1602195905843,49272,7,2,2,22027.74943887144
28,1602195905993,49412,6,2,2,22027.88943887144
29,1602195906127,49552,5,2,2,22028.02943887144
30,1602195906310,49752,4,2,2,22028.22943887144
31,1602195906726,50152,3,2,2,22028.629438871438
32,1602195907010,50452,2,2,2,22028.92943887144
33,1602195907543,50952,1,2,2,22029.42943887144
34,1602195907776,51192,0,2,2,22029.66943887144
35,1602195909710,53152,1,2,2,22031.629438871438
36,1602195912059,55492,2,2,2,22033.969438871438
37,1602195912343,55752,3,2,2,22034.22943887144
38,1602195912743,56192,4,2,2,22034.66943887144
39,1602195913393,56792,5,2,2,22035.26943887144
40,1602195913426,56852,6,2,2,22035.32943887144
41,1602195913576,56992,7,2,2,22035.469438871438
42,1602195913659,57092,8,2,2,22035.56943887144
43,1602195913826,57252,9,2,2,22035.72943887144
44,1602195914359,57792,10,2,2,22036.26943887144
45,1602195914810,58252,9,2,2,22036.72943887144
46,1602195915677,59112,8,2,2,22037.58943887144
47,1602195916777,60212,7,2,2,22038.68943887144
48,1602195916826,60252,6,2,2,22038.72943887144
49,1602195917576,60992,5,2,2,22039.469438871438
50,1602195918026,61452,4,2,2,22039.92943887144
