,session,participant,time,channel_0
0,2,2,22360.282964516027,MouseButtonLeft pressed
1,2,2,22360.303674056016,MouseButtonLeft released
2,2,2,22360.32744906246,MouseButtonLeft pressed
3,2,2,22360.353531222434,MouseButtonLeft released
4,2,2,22366.094641740136,MouseButtonLeft pressed
5,2,2,22366.110398526103,MouseButtonLeft released
6,2,2,22367.01240819497,MouseButtonLeft pressed
7,2,2,22367.027747377673,MouseButtonLeft released
8,2,2,22367.14546340646,MouseButtonLeft pressed
9,2,2,22367.161994766146,MouseButtonLeft released
10,2,2,22369.245941139336,MouseWheelDown120 pressed
11,2,2,22369.451497132934,MouseWheelDown120 pressed
12,2,2,22369.836543029196,MouseWheelUp120 pressed
13,2,2,22369.886427041263,MouseWheelUp120 pressed
14,2,2,22371.76561531193,MouseButtonRight pressed
15,2,2,22371.790934825338,MouseButtonRight released
16,2,2,22371.926714218367,MouseButtonRight pressed
17,2,2,22371.947408187876,MouseButtonRight released
18,2,2,22372.548717733804,MouseWheelDown120 pressed
19,2,2,22372.575576154937,MouseWheelDown120 pressed
20,2,2,22373.857651084916,MouseWheelUp120 pressed
21,2,2,22373.907882518055,MouseWheelUp120 pressed
22,2,2,22374.105406408144,MouseButtonRight pressed
23,2,2,22374.11925811172,MouseButtonRight released
24,2,2,22374.25038197043,MouseButtonRight pressed
25,2,2,22374.267282572855,MouseButtonRight released
26,2,2,22374.444032646803,MouseButtonRight pressed
27,2,2,22374.476659469507,MouseButtonRight released
28,2,2,22374.55640251774,MouseButtonLeft pressed
29,2,2,22374.584047439723,MouseButtonLeft released
30,2,2,22374.658811923764,MouseButtonLeft pressed
31,2,2,22374.685269577683,MouseButtonLeft released
32,2,2,22374.765819069253,MouseButtonLeft pressed
33,2,2,22374.801140313175,MouseButtonLeft released
34,2,2,22374.835225660063,MouseButtonLeft pressed
35,2,2,22374.87473332974,MouseButtonLeft released
36,2,2,22374.89661548773,MouseButtonLeft pressed
37,2,2,22374.92574489747,MouseButtonLeft released
38,2,2,22374.95410679007,MouseButtonLeft pressed
39,2,2,22374.98478227916,MouseButtonLeft released
40,2,2,22375.037347327972,MouseButtonLeft pressed
41,2,2,22375.074930394632,MouseButtonLeft released
42,2,2,22375.09869147969,MouseButtonLeft pressed
43,2,2,22375.124017244292,MouseButtonLeft released
44,2,2,22375.160836168692,MouseButtonLeft pressed
45,2,2,22375.196889071638,MouseButtonLeft released
46,2,2,22375.228324906246,MouseButtonLeft pressed
47,2,2,22375.25401473622,MouseButtonLeft released
48,2,2,22375.288546564618,MouseButtonLeft pressed
49,2,2,22375.323056264533,MouseButtonLeft released
50,2,2,22375.354502108734,MouseButtonLeft pressed
51,2,2,22375.39247393876,MouseButtonLeft released
52,2,2,22375.41930877407,MouseButtonLeft pressed
53,2,2,22375.45268209761,MouseButtonLeft released
54,2,2,22375.480693999627,MouseButtonLeft pressed
55,2,2,22375.49640533975,MouseButtonLeft released
56,2,2,22375.701953816566,MouseButtonLeft pressed
57,2,2,22375.74185688432,MouseButtonLeft released
58,2,2,22375.764869742754,MouseButtonLeft pressed
59,2,2,22375.79709042912,MouseButtonLeft released
60,2,2,22375.827730558656,MouseButtonLeft pressed
61,2,2,22375.863437612923,MouseButtonLeft released
62,2,2,22375.894879506977,MouseButtonLeft pressed
63,2,2,22375.933230282535,MouseButtonLeft released
64,2,2,22379.33842652272,MouseButtonRight pressed
65,2,2,22379.367937754312,MouseButtonRight released
66,2,2,22379.442350713736,MouseButtonLeft pressed
67,2,2,22379.494119213756,MouseButtonLeft released
68,2,2,22379.53170492663,MouseButtonLeft pressed
69,2,2,22379.56317148033,MouseButtonLeft released
70,2,2,22379.606870254578,MouseButtonLeft pressed
71,2,2,22379.637930365134,MouseButtonLeft released
72,2,2,22379.67168911551,MouseButtonLeft pressed
73,2,2,22379.698150988035,MouseButtonLeft released
74,2,2,22379.734979768622,MouseButtonLeft pressed
75,2,2,22379.774454188046,MouseButtonLeft released
76,2,2,22379.787475824112,MouseButtonLeft pressed
77,2,2,22379.818955647235,MouseButtonLeft released
78,2,2,22379.89715549244,MouseButtonRight pressed
79,2,2,22379.93054703267,MouseButtonRight released
80,2,2,22381.41126869124,MouseButtonLeft pressed
81,2,2,22382.00458252869,MouseButtonLeft released
82,2,2,22384.901194290745,MouseButtonRight pressed
83,2,2,22384.933453404745,MouseButtonRight released
84,2,2,22384.949519912818,MouseButtonLeft pressed
85,2,2,22385.176957067284,MouseButtonLeft released
86,2,2,22392.366610551457,MouseButtonLeft pressed
87,2,2,22392.404588210822,MouseButtonLeft released
88,2,2,22392.432942088075,MouseButtonLeft pressed
89,2,2,22392.49049310281,MouseButtonLeft released
90,2,2,22398.257299394878,MouseButtonLeft pressed
91,2,2,22398.305632457028,MouseButtonLeft released
92,2,2,22402.676501023212,MouseButtonLeft pressed
93,2,2,22402.71178464487,MouseButtonLeft released
94,2,2,22402.788499925613,MouseButtonLeft pressed
95,2,2,22402.82224667215,MouseButtonLeft released
96,2,2,22402.847905706327,MouseButtonLeft pressed
97,2,2,22402.870544374746,MouseButtonLeft released
98,2,2,22402.892454643967,MouseButtonLeft pressed
99,2,2,22402.919667849543,MouseButtonLeft released
100,2,2,22402.960286737387,MouseButtonLeft pressed
101,2,2,22402.998270341148,MouseButtonLeft released
102,2,2,22403.039674042404,MouseButtonLeft pressed
103,2,2,22403.078812469335,MouseButtonLeft released
104,2,2,22410.477482351424,MouseButtonRight pressed
105,2,2,22410.494759406567,MouseButtonRight released
106,2,2,22410.566456813416,MouseButtonRight pressed
107,2,2,22410.59521452595,MouseButtonRight released
108,2,2,22410.663852525795,MouseButtonRight pressed
109,2,2,22410.699524680716,MouseButtonRight released
110,2,2,22410.77889982849,MouseButtonRight pressed
111,2,2,22410.80384407805,MouseButtonRight released
112,2,2,22411.57353065466,MouseButtonLeft pressed
113,2,2,22411.58773599215,MouseButtonLeft released
114,2,2,22411.76836576112,MouseButtonLeft pressed
115,2,2,22411.79175998119,MouseButtonLeft released
116,2,2,22413.40978559727,MouseButtonLeft pressed
117,2,2,22413.431653028507,MouseButtonLeft released
118,2,2,22414.183337142145,MouseButtonLeft pressed
119,2,2,22414.20670766134,MouseButtonLeft released
120,2,2,22414.310656627054,MouseButtonLeft pressed
121,2,2,22414.339803678224,MouseButtonLeft released
122,2,2,22414.94114003145,MouseButtonLeft pressed
123,2,2,22414.97298066011,MouseButtonLeft released
124,2,2,22415.87271818984,MouseButtonLeft pressed
125,2,2,22415.902229229672,MouseButtonLeft released
126,2,2,22416.676903843152,MouseButtonLeft pressed
127,2,2,22416.705296416494,MouseButtonLeft released
128,2,2,22431.328491208624,MouseWheelDown120 pressed
129,2,2,22431.64793488788,MouseWheelUp120 pressed
130,2,2,22434.327549922262,MouseButtonRight pressed
131,2,2,22434.34710881933,MouseButtonRight released
132,2,2,22435.05274631485,MouseButtonRight pressed
133,2,2,22435.06541297472,MouseButtonRight released
134,2,2,22435.132143399354,MouseButtonRight pressed
135,2,2,22435.154018922636,MouseButtonRight released
136,2,2,22435.23721090826,MouseButtonRight pressed
137,2,2,22435.269461585056,MouseButtonRight released
138,2,2,22435.753457058283,MouseButtonRight pressed
139,2,2,22435.78143279538,MouseButtonRight released
140,2,2,22436.080953819008,MouseButtonLeft pressed
141,2,2,22436.11700311696,MouseButtonLeft released
