,session,participant,time,channel_0
0,2,2,22362.99246644017,PRIOR pressed
1,2,2,22363.03887332523,PRIOR released
2,2,2,22366.492763882816,W pressed
3,2,2,22366.543376215537,W released
4,2,2,22366.730147687238,B pressed
5,2,2,22366.758522426368,B released
6,2,2,22367.473786362563,B pressed
7,2,2,22367.50904670393,B released
8,2,2,22367.77367450873,B pressed
9,2,2,22367.794392255066,B released
10,2,2,22367.819695046546,B pressed
11,2,2,22367.851146642242,B released
12,2,2,22368.011059386983,W pressed
13,2,2,22368.033695254955,W released
14,2,2,22368.073959740403,W pressed
15,2,2,22368.09933850507,D pressed
16,2,2,22368.099661649987,W released
17,2,2,22368.145293232694,D released
18,2,2,22368.149134384897,A pressed
19,2,2,22368.158721081312,W pressed
20,2,2,22368.179431656023,W released
21,2,2,22368.182491676533,A released
22,2,2,22368.189009263268,D pressed
23,2,2,22368.207417056536,A pressed
24,2,2,22368.217388451107,D released
25,2,2,22368.243473869967,D pressed
26,2,2,22368.2484616382,A released
27,2,2,22368.279521709275,D released
28,2,2,22368.287192508404,S pressed
29,2,2,22368.324785046374,D pressed
30,2,2,22368.328992334886,S released
31,2,2,22368.35430732196,A pressed
32,2,2,22368.35852293262,D released
33,2,2,22368.36734913014,S pressed
34,2,2,22368.383458207158,S released
35,2,2,22368.38421770893,D pressed
36,2,2,22368.405312943443,D released
37,2,2,22368.430246223736,A released
38,2,2,22368.43028998214,D pressed
39,2,2,22368.46207197108,A pressed
40,2,2,22368.464365701708,D released
41,2,2,22368.470895790844,D pressed
42,2,2,22368.494668380314,A released
43,2,2,22368.503888326813,D released
44,2,2,22368.505021251563,W pressed
45,2,2,22368.534565809034,W released
46,2,2,22368.541854172712,W pressed
47,2,2,22368.582488552856,W released
48,2,2,22368.594380063318,D pressed
49,2,2,22368.62430218567,A pressed
50,2,2,22368.624407305564,W pressed
51,2,2,22368.624669012293,D released
52,2,2,22368.638885739492,D pressed
53,2,2,22368.645386796976,A released
54,2,2,22368.670329549946,D released
55,2,2,22369.208381941913,D pressed
56,2,2,22369.255934254128,D released
57,2,2,22369.3522192434,D pressed
58,2,2,22369.39170198354,D released
59,2,2,22369.43234710194,A pressed
60,2,2,22369.477224360253,A released
61,2,2,22369.548561956093,A pressed
62,2,2,22369.586175011813,A released
63,2,2,22369.599963052344,D pressed
64,2,2,22369.616071477394,D released
65,2,2,22369.629474244506,A pressed
66,2,2,22369.637917508015,D pressed
67,2,2,22369.65057929686,A released
68,2,2,22369.656321657945,A pressed
69,2,2,22369.660928869926,D released
70,2,2,22369.70963289884,A released
71,2,2,22369.724589722242,SPACE pressed
72,2,2,22369.775972294992,SPACE released
73,2,2,22369.777500656157,A pressed
74,2,2,22369.826991837865,A released
75,2,2,22369.967350365063,D pressed
76,2,2,22370.034122474724,D released
77,2,2,22370.157573727047,D pressed
78,2,2,22370.196308739156,D released
79,2,2,22370.2254574,A pressed
80,2,2,22370.292182338024,A released
81,2,2,22370.294491447374,D pressed
82,2,2,22370.324788028185,D released
83,2,2,22370.36619809419,D pressed
84,2,2,22370.880869958215,A pressed
85,2,2,22370.918069360832,A released
86,2,2,22371.307337411763,A pressed
87,2,2,22371.311551143226,D released
88,2,2,22371.367161944094,W released
89,2,2,22371.368309787358,A released
90,2,2,22371.380975718097,A pressed
91,2,2,22371.449239103582,W pressed
92,2,2,22371.49525431062,D pressed
93,2,2,22371.496414426176,A released
94,2,2,22371.51289500863,W released
95,2,2,22371.67895559881,W pressed
96,2,2,22372.058628132614,D released
97,2,2,22372.13494156955,D pressed
98,2,2,22372.15680190507,A pressed
99,2,2,22372.159122903206,D released
100,2,2,22372.186714171236,A released
101,2,2,22372.198990609955,D pressed
102,2,2,22372.253446971197,D released
103,2,2,22372.2833587388,D pressed
104,2,2,22372.309835490523,A pressed
105,2,2,22372.31136339148,D released
106,2,2,22372.655758210945,A released
107,2,2,22372.71022193557,D pressed
108,2,2,22372.980580212672,D released
109,2,2,22373.076466889208,A pressed
110,2,2,22373.22259086475,A released
111,2,2,22373.24443770074,SPACE pressed
112,2,2,22373.271282928177,W released
113,2,2,22373.27936289335,SPACE released
114,2,2,22373.29429080015,A pressed
115,2,2,22373.319992786433,S pressed
116,2,2,22373.333411584237,A released
117,2,2,22373.495253955894,SPACE pressed
118,2,2,22373.508681804517,S released
119,2,2,22373.53206800839,A pressed
120,2,2,22373.551638064862,SPACE released
121,2,2,22373.559678566933,W pressed
122,2,2,22373.588056949404,A released
123,2,2,22373.596884450853,D pressed
124,2,2,22373.953933964243,A pressed
125,2,2,22373.97387008032,D released
126,2,2,22374.050201925704,W released
127,2,2,22374.149516024634,S pressed
128,2,2,22374.259968805323,S released
129,2,2,22374.35278710085,W pressed
130,2,2,22374.53149943193,D pressed
131,2,2,22374.534182232717,A released
132,2,2,22374.658060599322,W released
133,2,2,22374.669564650358,D released
134,2,2,22374.778486615425,A pressed
135,2,2,22374.83063386732,A released
136,2,2,22374.880490916876,D pressed
137,2,2,22374.914625275007,D released
138,2,2,22374.952982262017,D pressed
139,2,2,22374.984043176813,D released
140,2,2,22375.23448412979,D pressed
141,2,2,22375.267083108534,D released
142,2,2,22375.285485340915,D pressed
143,2,2,22375.324598723273,D released
144,2,2,22375.36602508842,D pressed
145,2,2,22375.41165720804,D released
146,2,2,22375.49680485784,A pressed
147,2,2,22375.73226789441,D pressed
148,2,2,22375.73571418546,A released
149,2,2,22375.836971449193,D released
150,2,2,22377.440805667567,W pressed
151,2,2,22377.62526427153,D pressed
152,2,2,22377.70620294538,D released
153,2,2,22377.73188729024,D pressed
154,2,2,22377.88874469328,A pressed
155,2,2,22377.892572537712,D released
156,2,2,22377.99420176709,A released
157,2,2,22378.028341686106,A pressed
158,2,2,22378.23427715466,A released
159,2,2,22378.24541180957,D pressed
160,2,2,22378.368895698528,D released
161,2,2,22378.41913407136,A pressed
162,2,2,22378.494297555728,A released
163,2,2,22378.52460169167,D pressed
164,2,2,22378.76582346517,A pressed
165,2,2,22378.76620682104,D released
166,2,2,22378.787310454412,W released
167,2,2,22378.854799342917,W pressed
168,2,2,22379.148565147007,D pressed
169,2,2,22379.22911348512,A released
170,2,2,22379.35950219013,D released
171,2,2,22379.373697287407,W released
172,2,2,22379.89526959548,W pressed
173,2,2,22379.96391016234,D pressed
174,2,2,22380.050969759282,D released
175,2,2,22380.19786021646,D pressed
176,2,2,22380.83601642966,A pressed
177,2,2,22380.956817671242,A released
178,2,2,22381.19305608686,A pressed
179,2,2,22381.340704856928,LSHIFT pressed
180,2,2,22381.467274423172,A released
181,2,2,22381.476471129004,W released
182,2,2,22381.980027130085,D released
183,2,2,22382.0137721496,LSHIFT released
184,2,2,22383.795167787717,W pressed
185,2,2,22383.912911655,D pressed
186,2,2,22384.073598743315,D released
187,2,2,22384.1138731233,A pressed
188,2,2,22384.499290549353,A released
189,2,2,22384.499668114237,D pressed
190,2,2,22384.516177613288,W released
191,2,2,22384.573692576058,W pressed
192,2,2,22384.76813143365,A pressed
193,2,2,22384.76966658293,D released
194,2,2,22384.81530514551,D pressed
195,2,2,22384.81646821409,A released
196,2,2,22384.910813873656,W released
197,2,2,22385.15242586784,D released
198,2,2,22386.56717636039,W pressed
199,2,2,22386.58290300196,A pressed
200,2,2,22386.75586300071,D pressed
201,2,2,22386.852508910564,D released
202,2,2,22386.95606017338,D pressed
203,2,2,22387.00707557435,D released
204,2,2,22387.043882263468,D pressed
205,2,2,22387.32538083306,LSHIFT pressed
206,2,2,22387.95357719532,D released
207,2,2,22388.442538674208,A released
208,2,2,22388.445603411885,W released
209,2,2,22388.45060567677,D pressed
210,2,2,22388.45787996566,LSHIFT released
211,2,2,22388.487419767618,W pressed
212,2,2,22389.187700993538,LSHIFT pressed
213,2,2,22389.833531764256,D released
214,2,2,22390.064406342448,A pressed
215,2,2,22390.504292210284,W released
216,2,2,22390.59479169368,S pressed
217,2,2,22390.872852716227,S released
218,2,2,22390.945708740343,A released
219,2,2,22391.326531917024,W pressed
220,2,2,22391.347627841853,D pressed
221,2,2,22391.435841379858,D released
222,2,2,22391.993841968448,W released
223,2,2,22392.11963389293,LSHIFT released
224,2,2,22392.136895185216,C pressed
225,2,2,22392.219357042857,C released
226,2,2,22392.289916038164,W pressed
227,2,2,22392.367761364552,C pressed
228,2,2,22392.38387389315,C released
229,2,2,22392.487428300745,W released
230,2,2,22392.567193858074,W pressed
231,2,2,22392.669582320766,D pressed
232,2,2,22392.837560035467,LSHIFT pressed
233,2,2,22392.954146049895,D released
234,2,2,22392.967953572697,LSHIFT released
235,2,2,22393.460388111587,TAB pressed
236,2,2,22393.5693016011,TAB released
237,2,2,22393.942854093875,V pressed
238,2,2,22394.124239753066,V released
239,2,2,22394.414555584415,C pressed
240,2,2,22394.417237694885,V pressed
241,2,2,22394.457506744093,V released
242,2,2,22394.467481590247,C released
243,2,2,22394.533060295747,W released
244,2,2,22394.676494950843,H pressed
245,2,2,22394.719452860285,H released
246,2,2,22394.785040961764,G pressed
247,2,2,22394.83028385782,G released
248,2,2,22394.893561852827,H pressed
249,2,2,22394.925015212666,H released
250,2,2,22394.97486436193,J pressed
251,2,2,22395.01589755337,J released
252,2,2,22395.06920403875,K pressed
253,2,2,22395.089915610588,K released
254,2,2,22395.307370087045,O pressed
255,2,2,22395.344965424636,O released
256,2,2,22395.416667699443,I pressed
257,2,2,22395.453101272382,I released
258,2,2,22395.67669020981,O pressed
259,2,2,22395.731527165663,O released
260,2,2,22396.2684394229,W pressed
261,2,2,22396.533831638393,D pressed
262,2,2,22396.6120686428,D released
263,2,2,22396.76201961905,O pressed
264,2,2,22396.767777550616,I pressed
265,2,2,22396.782740586863,O released
266,2,2,22396.78386994498,I released
267,2,2,22396.883976412428,O pressed
268,2,2,22396.997877248312,O released
269,2,2,22397.135938631647,I pressed
270,2,2,22397.188125845212,I released
271,2,2,13634.8011199,W released
272,2,2,13634.9161104,U pressed
273,2,2,13635.0731273,U released
274,2,2,13635.5071247,U pressed
275,2,2,13635.6141106,U released
276,2,2,13636.1591207,ESCAPE pressed
277,2,2,13636.2451254,ESCAPE released
278,2,2,13636.7621719,W pressed
279,2,2,13637.0451322,D pressed
280,2,2,13637.2131209,D released
281,2,2,13637.307137,D pressed
282,2,2,13637.4211111,W released
283,2,2,13637.9010986,W pressed
284,2,2,13638.5741385,W released
285,2,2,13638.7171118,S pressed
286,2,2,13638.8321197,D released
287,2,2,13639.2221262,A pressed
288,2,2,13639.2991203,S released
289,2,2,13639.4151138,W pressed
290,2,2,13639.4571286,A released
291,2,2,13639.5321119,LSHIFT pressed
292,2,2,13639.6991263,A pressed
293,2,2,13641.072136,D pressed
294,2,2,13641.1211405,A released
295,2,2,13641.5981454,LSHIFT released
296,2,2,13641.7601538,LCONTROL pressed
297,2,2,13642.0381263,A pressed
298,2,2,13642.0601561,D released
299,2,2,13645.2331162,D pressed
300,2,2,13645.2691104,A released
301,2,2,13646.0701265,D released
302,2,2,13646.7521439,D pressed
303,2,2,13646.8741304,D released
304,2,2,13646.9981569,A pressed
305,2,2,13647.3601501,W released
306,2,2,13647.5031527,S pressed
307,2,2,13648.0631421,S released
308,2,2,13648.1881469,W pressed
309,2,2,13648.2771309,D pressed
310,2,2,13648.2840984,A released
311,2,2,13649.0571773,D released
312,2,2,13649.0681608,W released
313,2,2,13649.2311541,LCONTROL released
314,2,2,13649.2561393,D pressed
315,2,2,13649.3481403,W pressed
316,2,2,13649.4531326,W released
317,2,2,13650.1771476,D released
318,2,2,13653.8701802,W pressed
319,2,2,13653.9531432,A pressed
320,2,2,13654.2671518,D pressed
321,2,2,13654.2811187,A released
322,2,2,13654.3001437,LSHIFT pressed
323,2,2,13654.6841514,D released
324,2,2,13654.7661586,A pressed
325,2,2,13655.0111182,LSHIFT released
326,2,2,13655.2431499,A released
327,2,2,13655.3931231,D pressed
328,2,2,13655.4681514,D released
329,2,2,13655.5271204,A pressed
330,2,2,13655.7701728,D pressed
331,2,2,13656.0141479,A released
332,2,2,13656.3221582,D released
333,2,2,13656.3621454,A pressed
334,2,2,13657.7071334,W released
335,2,2,13657.7072501,A released
336,2,2,13657.8411813,C pressed
337,2,2,13658.1771464,C released
338,2,2,13658.5191308,V pressed
339,2,2,13658.7191441,V released
340,2,2,13659.4441529,W pressed
341,2,2,13659.8901412,W released
342,2,2,13663.3591236,W pressed
343,2,2,13663.4961585,D pressed
344,2,2,13663.6991277,D released
345,2,2,13663.8081331,W released
346,2,2,13667.048156,W pressed
347,2,2,13667.2791578,D pressed
348,2,2,13667.5401693,D released
349,2,2,13667.5751623,W released
350,2,2,13668.30815,W pressed
351,2,2,13668.61018,W released
352,2,2,13670.7891889,V pressed
353,2,2,13670.8551493,V released
354,2,2,13671.0121548,B pressed
355,2,2,13671.108155,B released
356,2,2,13673.394164,B pressed
357,2,2,13673.4791566,B released
358,2,2,13674.2591788,W pressed
359,2,2,13674.6711603,W released
360,2,2,13674.9711542,W pressed
361,2,2,13675.1681954,W released
362,2,2,13675.6551602,ESCAPE pressed
363,2,2,13675.7211509,ESCAPE released
364,2,2,13692.4851707,ESCAPE pressed
365,2,2,13692.5651824,ESCAPE released
366,2,2,13693.5241705,W pressed
367,2,2,13694.058182,W released
368,2,2,13694.247182,K pressed
369,2,2,13694.5381729,K released
370,2,2,13699.1191853,W pressed
371,2,2,13699.4701961,W released
372,2,2,13699.6181813,A pressed
373,2,2,13699.7501771,A released
374,2,2,13699.8071839,D pressed
375,2,2,13700.1691691,D released
376,2,2,13701.5451758,S pressed
377,2,2,13701.76718,S released
378,2,2,13705.6511909,K pressed
379,2,2,13707.9181834,K released
380,2,2,13708.9921863,W pressed
381,2,2,13709.3501943,D pressed
382,2,2,13709.5231989,W released
383,2,2,13709.6251885,A pressed
384,2,2,13709.6651947,D released
385,2,2,13709.7732094,A released
386,2,2,13711.537198,K pressed
387,2,2,13715.1281854,K released
388,2,2,13716.5261964,W pressed
389,2,2,13716.7842003,W released
390,2,2,13719.329193,A pressed
391,2,2,13719.487184,D pressed
392,2,2,13719.5442025,A released
393,2,2,13719.6452076,D released
394,2,2,13719.6561984,S pressed
395,2,2,13719.6811878,A pressed
396,2,2,13719.7351984,A released
397,2,2,13719.7722151,D pressed
398,2,2,13719.7942321,S released
399,2,2,13719.9052054,D released
400,2,2,13719.9331952,A pressed
401,2,2,13720.0411923,D pressed
402,2,2,13720.0701916,A released
403,2,2,13720.1851944,D released
404,2,2,13720.2351989,W pressed
405,2,2,13720.4002184,W released
406,2,2,13722.1561996,K pressed
407,2,2,13722.7232038,K released
408,2,2,13723.182211,W pressed
409,2,2,13723.4061996,D pressed
410,2,2,13723.6681965,W released
411,2,2,13723.8672008,W pressed
412,2,2,13724.0051915,D released
413,2,2,13724.1802058,A pressed
414,2,2,13724.3371899,A released
415,2,2,13724.3771788,D pressed
416,2,2,13724.8061991,W released
417,2,2,13724.9071795,A pressed
418,2,2,13724.9272028,D released
419,2,2,13724.9801821,W pressed
420,2,2,13725.028236,A released
421,2,2,13725.0351802,D pressed
422,2,2,13725.0471732,W released
423,2,2,13725.1651882,A pressed
424,2,2,13725.2351897,D released
425,2,2,13725.3031917,W pressed
426,2,2,13725.3571814,A released
427,2,2,13725.8131999,LSHIFT pressed
428,2,2,13726.0572037,D pressed
429,2,2,13726.7171822,D released
430,2,2,13726.9242031,D pressed
431,2,2,13727.5612243,W released
432,2,2,13727.9511881,A pressed
433,2,2,13728.1422104,W pressed
434,2,2,13728.7372085,A released
435,2,2,13728.7381756,LSHIFT released
436,2,2,13728.9512031,LCONTROL pressed
437,2,2,13728.965204,A pressed
438,2,2,13729.0631944,D released
439,2,2,13730.1772094,W released
440,2,2,13730.5051945,A released
441,2,2,13730.7322269,D pressed
442,2,2,13731.5692105,W pressed
443,2,2,13731.6692002,D released
444,2,2,13731.8942128,D pressed
445,2,2,13732.0702605,D released
446,2,2,13732.2091984,D pressed
447,2,2,13732.3041969,D released
448,2,2,13732.4591938,A pressed
449,2,2,13734.573197,W released
450,2,2,13735.1602291,W pressed
451,2,2,13735.2902118,W released
452,2,2,13735.3632082,D pressed
453,2,2,13735.6092079,A released
454,2,2,13735.6672016,D released
455,2,2,13735.7812082,D pressed
456,2,2,13735.8761997,D released
457,2,2,13736.1652163,LCONTROL released
458,2,2,13736.2282321,D pressed
459,2,2,13736.2752142,D released
460,2,2,13736.3412253,D pressed
461,2,2,13736.5042092,W pressed
462,2,2,13736.5371984,D released
463,2,2,13736.6252186,D pressed
464,2,2,13736.7852018,W released
465,2,2,13737.4272343,D released
466,2,2,13737.7672012,D pressed
467,2,2,13737.8372126,D released
468,2,2,13738.0312079,D pressed
469,2,2,13738.321211,D released
470,2,2,13738.3412137,D pressed
471,2,2,13738.3892117,S pressed
472,2,2,13738.5282166,D released
473,2,2,13738.8972066,S released
474,2,2,13739.5042116,S pressed
475,2,2,13740.1492004,S released
476,2,2,13741.4592043,W pressed
477,2,2,13741.5132367,A pressed
478,2,2,13742.5182493,A released
479,2,2,13742.5772211,LSHIFT pressed
480,2,2,13742.8452394,LSHIFT released
