,time,luminance,luminance_center,luminance_gaze,luminance_notcenter,luminance_notgaze
119,21942.41033612339,,,,,
120,21942.443669859756,,,,,
121,21942.477003596123,,,,,
122,21942.51033733249,,,,,
123,21942.543671068855,,,,,
124,21942.57700480522,,,,,
125,21942.610338541588,,,,,
126,21942.643672277954,,,,,
127,21942.67700601432,,,,,
128,21942.710339750687,,,,,
129,21942.74367348705,,,,,
130,21942.777007223416,,,,,
131,21942.810340959782,,,,,
132,21942.84367469615,,,,,
133,21942.877008432515,,,,,
134,21942.91034216888,,,,,
135,21942.943675905248,,,,,
136,21942.977009641614,,,,,
137,21943.01034337798,,,,,
138,21943.043677114347,,,,,
139,21943.077010850713,,,,,
140,21943.11034458708,,,,,
141,21943.143678323442,,,,,
142,21943.17701205981,,,,,
143,21943.210345796175,,,,,
144,21943.24367953254,,,,,
145,21943.277013268907,,,,,
146,21943.310347005274,,,,,
147,21943.34368074164,,,,,
148,21943.377014478006,,,,,
149,21943.410348214373,,,,,
150,21943.44368195074,,,,,
151,21943.477015687105,,,,,
152,21943.51034942347,,,,,
153,21943.543683159838,,,,,
154,21943.5770168962,,,,,
155,21943.610350632567,,,,,
156,21943.643684368933,,,,,
157,21943.6770181053,,,,,
158,21943.710351841666,,,,,
159,21943.743685578032,,,,,
160,21943.7770193144,,,,,
161,21943.810353050765,,,,,
162,21943.84368678713,,,,,
163,21943.877020523498,,,,,
164,21943.910354259864,,,,,
165,21943.94368799623,,,,,
166,21943.977021732593,,,,,
167,21944.01035546896,,,,,
168,21944.043689205326,,,,,
169,21944.077022941692,,,,,
170,21944.11035667806,,,,,
171,21944.143690414425,,,,,
172,21944.17702415079,,,,,
173,21944.210357887157,,,,,
174,21944.243691623524,,,,,
175,21944.27702535989,,,,,
176,21944.310359096256,,,,,
177,21944.343692832623,,,,,
178,21944.377026568985,,,,,
179,21944.41036030535,,,,,
180,21944.443694041718,,,,,
181,21944.477027778084,,,,,
182,21944.51036151445,,,,,
183,21944.543695250817,,,,,
184,21944.577028987183,,,,,
185,21944.61036272355,,,,,
186,21944.643696459916,,,,,
187,21944.677030196282,,,,,
188,21944.71036393265,,,,,
189,21944.743697669015,,,,,
190,21944.77703140538,,,,,
191,21944.810365141744,,,,,
192,21944.84369887811,,,,,
193,21944.877032614477,,,,,
194,21944.910366350843,,,,,
195,21944.94370008721,,,,,
196,21944.977033823576,,,,,
197,21945.010367559942,,,,,
198,21945.04370129631,,,,,
199,21945.077035032675,,,,,
200,21945.11036876904,,,,,
201,21945.143702505407,,,,,
202,21945.177036241774,,,,,
203,21945.210369978136,,,,,
204,21945.243703714503,,,,,
205,21945.27703745087,,,,,
206,21945.310371187235,,,,,
207,21945.3437049236,,,,,
208,21945.377038659968,,,,,
209,21945.410372396334,,,,,
210,21945.4437061327,,,,,
211,21945.477039869067,,,,,
212,21945.510373605433,,,,,
213,21945.5437073418,,,,,
214,21945.577041078166,,,,,
215,21945.61037481453,,,,,
216,21945.643708550895,,,,,
217,21945.67704228726,,,,,
218,21945.710376023628,,,,,
